pk_model,scenario,analysis_set,n_trials,dev_R_median,dev_R_p05,dev_R_p95,dev_T_median,dev_T_p05,dev_T_p95,armdiff_median,armdiff_p05,armdiff_p95,armdiff_mean,armdiff_abs_gt5_pct,rand_armdiff_abs_max
k2020,ke_down_125,iii,2000,-0.822649572649574,-6.62511870845204,4.82145992145992,-0.9903005858062,-6.61324786324786,4.45121951219512,-0.0649460188933873,-8.16447306081453,7.2673477502437,-0.154823427748648,28.95,0.854700854700859
k2020,ke_up_080,iii,2000,-0.822649572649574,-6.62511870845204,4.82145992145992,-0.709013209013207,-5.84903717433838,4.49182046062719,0.0330189666174974,-7.52160576550821,7.79461446740859,0.118423737923154,29.35,0.854700854700859
k2016,F097,iv,2000,-1.77870177870178,-12.7305443094917,8.19185336627197,-2.19767844767845,-12.1794871794872,9.40270323991254,-0.231145176797352,-15.1637757667169,15.2741004085481,-0.148049504544971,58.7,0.854700854700859
k2016,F_down_080,iv,2000,-1.77870177870178,-12.7305443094917,8.19185336627197,-2.73272826464316,-13.8598901098901,9.68790468790469,-0.463151502161253,-15.5702624480162,15.417776907001,-0.456729707966332,59.15,0.854700854700859
k2016,F_up_125,iv,2000,-1.77870177870178,-12.7305443094917,8.19185336627197,-1.28205128205128,-11.8740565252193,8.24175824175824,0.548164572554814,-14.6341463414634,15,0.393792547191574,57.55,0.854700854700859
k2016,KE110,iv,2000,-1.77870177870178,-12.7305443094917,8.19185336627197,-2.27855033347025,-12.7281127281127,8.37237762237763,-0.529350104821805,-15.4191636203831,14.9298241561961,-0.278493166899824,57.9,0.854700854700859
k2016,KE120,iv,2000,-1.77870177870178,-12.7305443094917,8.19185336627197,-2.20527466549498,-12.2323570149657,8.49462365591397,-0.112640801001255,-15.2351887542141,14.855562083823,-0.188436519774988,57.4,0.854700854700859
k2016,S00,iv,2000,-1.77870177870178,-12.7305443094917,8.19185336627197,-1.77870177870178,-12.355565581372,8.76732501732501,0,-15.0375939849624,15.1211488769628,0.00743595671863357,57.25,0.854700854700859
k2016,V2_up_080,iv,2000,-1.77870177870178,-12.7305443094917,8.19185336627197,-2.87899235267657,-10.6449106449106,4.76127320954907,-0.883074997593145,-13.8113553113553,11.9598143917256,-0.89664653891746,54.6,0.854700854700859
k2016,VM125,iv,2000,-1.77870177870178,-12.7305443094917,8.19185336627197,-2.2218419326317,-15.100321270534,9.82905982905983,-0.463151502161253,-17.3584464316172,15.6484573627431,-0.545127957849829,63.25,0.854700854700859
k2016,Vmax_down_125,iv,2000,-1.77870177870178,-12.7305443094917,8.19185336627197,-0.0518476621417783,-9.12358324043107,9.25231631113983,1.70261286332715,-11.6081810631229,15.4693998811646,1.79418296508641,56.2,0.854700854700859
k2016,Vmax_up_080,iv,2000,-1.77870177870178,-12.7305443094917,8.19185336627197,-2.40870240870241,-15.6720594220594,10.6889183613322,-0.534954444567067,-18.2443937745795,16.4897768420007,-0.582858411808428,62.3,0.854700854700859
k2016,ka_down_080,iv,2000,-1.77870177870178,-12.7305443094917,8.19185336627197,-2.83577533577533,-17.8472222222222,11.8446886446886,-0.878045020043171,-19.609593837535,18.4216589861751,-0.808370340091194,66.85,0.854700854700859
k2016,ke_down_125,iv,2000,-1.77870177870178,-12.7305443094917,8.19185336627197,-0.854700854700859,-12.8205128205128,11.1153846153846,1.21334805545332,-15.625,17.3447900665643,1.03402713872819,60.15,0.854700854700859
k2016,ke_up_080,iv,2000,-1.77870177870178,-12.7305443094917,8.19185336627197,-2.21107395020439,-12.1536384899556,7.69230769230769,-0.338246446737013,-14.8276700715725,13.7448593073593,-0.295241737735023,59.4,0.854700854700859
k2020,F097,iv,2000,-2.24749843652283,-14.6153846153846,11.1126373626374,-2.40627428127428,-14.9467328370554,10.5839617898441,0,-17.62535147077,18.7537861136999,-0.116049051994395,61.3,0.854700854700859
k2020,F_down_080,iv,2000,-2.24749843652283,-14.6153846153846,11.1126373626374,-2.41802641802642,-16.0547785547786,11.2820512820513,-0.374299719887954,-18.6103896103896,18.6708333333333,-0.317869605331918,67.35,0.854700854700859
k2020,F_up_125,iv,2000,-2.24749843652283,-14.6153846153846,11.1126373626374,-1.38057704471367,-12.991452991453,10.4432234432234,0.880750294886919,-15.6426482873851,17.7960102960103,0.754152445931823,63.15,0.854700854700859
k2020,KE110,iv,2000,-2.24749843652283,-14.6153846153846,11.1126373626374,-2.06822960800929,-14.5611625216888,10.02541002541,-0.12952101661779,-16.3483865939711,17.6360003561967,0.0848236169661249,64.35,0.854700854700859
k2020,KE120,iv,2000,-2.24749843652283,-14.6153846153846,11.1126373626374,-2.04025365315687,-14.1404151404151,9.97249238628549,0,-17.6204481792717,17.5117845117845,0.0159851062102439,62.7,0.854700854700859
k2020,S00,iv,2000,-2.24749843652283,-14.6153846153846,11.1126373626374,-2.13675213675214,-15.1395350840915,10.4294871794872,0,-17.9618687399648,17.8971471471471,-0.0104703493784646,62.75,0.854700854700859
k2020,V2_up_080,iv,2000,-2.24749843652283,-14.6153846153846,11.1126373626374,-0.0661552926361324,-10.6647857562492,9.79066153484758,2.13426754124428,-14.8173173173173,17.8571428571429,1.94468596427484,61.7,0.854700854700859
k2020,VM125,iv,2000,-2.24749843652283,-14.6153846153846,11.1126373626374,-2.7008547008547,-17.1807878112226,11.2969156447417,-0.662209762599083,-20.6737231182796,18.288789428815,-0.62845547635877,65.2,0.854700854700859
k2020,Vmax_down_125,iv,2000,-2.24749843652283,-14.6153846153846,11.1126373626374,-0.427350427350426,-11.1776556776557,10.4571285688307,2.06048543860889,-15.3855866355866,18.2912730544309,1.83665550102097,61.7,0.854700854700859
k2020,Vmax_up_080,iv,2000,-2.24749843652283,-14.6153846153846,11.1126373626374,-2.42735042735043,-17.7544677544678,13.4266876913936,-0.208659874608152,-20.4663009404389,19.646921182266,-0.318837077022586,68.15,0.854700854700859
