trial,scenario,endpoint,GMR,CI_lower,CI_upper,pass,n_R,n_T
17,Vmax_down_125,AUCinf_true,1.12763,1.041779,1.220555,TRUE,117,117
17,Vmax_down_125,AUClast,1.144952,1.055267,1.242259,TRUE,117,117
17,Vmax_down_125,Cmax,0.9997243,0.9398387,1.063426,TRUE,117,117
18,S00,AUCinf_A,0.9401056,0.860141,1.027504,TRUE,93,96
18,S00,AUCinf_B,0.9704394,0.8946108,1.052695,TRUE,116,115
18,S00,AUCinf_C,0.9706484,0.8928794,1.055191,TRUE,117,117
18,S00,AUCinf_true,0.9956184,0.9209553,1.076335,TRUE,117,117
18,S00,AUClast,0.9674521,0.8894123,1.052339,TRUE,117,117
18,S00,Cmax,1.029463,0.9571865,1.107198,TRUE,117,117
18,Vmax_down_125,AUCinf_A,1.153529,1.056547,1.259415,FALSE,93,97
18,Vmax_down_125,AUCinf_B,1.199055,1.104972,1.301148,FALSE,116,117
18,Vmax_down_125,AUCinf_C,1.210802,1.114657,1.31524,FALSE,117,117
18,Vmax_down_125,AUCinf_true,1.240898,1.14847,1.340764,FALSE,117,117
18,Vmax_down_125,AUClast,1.216103,1.119893,1.32058,FALSE,117,117
18,Vmax_down_125,Cmax,1.084273,1.009668,1.164391,TRUE,117,117
19,S00,AUCinf_A,1.024511,0.9469196,1.108461,TRUE,91,94
19,S00,AUCinf_B,0.9981124,0.9257971,1.076076,TRUE,114,115
19,S00,AUCinf_C,1.002373,0.925303,1.085862,TRUE,117,117
19,S00,AUCinf_true,1.016486,0.9422151,1.096611,TRUE,117,117
19,S00,AUClast,1.008249,0.9310094,1.091898,TRUE,117,117
19,S00,Cmax,0.999057,0.928802,1.074626,TRUE,117,117
19,Vmax_down_125,AUCinf_A,1.200141,1.108653,1.299177,FALSE,91,99
19,Vmax_down_125,AUCinf_B,1.234709,1.145058,1.331381,FALSE,114,117
19,Vmax_down_125,AUCinf_C,1.261552,1.167646,1.36301,FALSE,117,117
19,Vmax_down_125,AUCinf_true,1.275482,1.184229,1.373765,FALSE,117,117
19,Vmax_down_125,AUClast,1.272893,1.178007,1.375422,FALSE,117,117
19,Vmax_down_125,Cmax,1.05901,0.9874796,1.135722,TRUE,117,117
20,S00,AUCinf_A,0.9684065,0.8865298,1.057845,TRUE,94,91
20,S00,AUCinf_B,0.9883514,0.911535,1.071641,TRUE,117,116
20,S00,AUCinf_C,0.9940363,0.9133,1.08191,TRUE,117,117
20,S00,AUCinf_true,0.9939582,0.9162249,1.078287,TRUE,117,117
20,S00,AUClast,0.993207,0.9121991,1.081409,TRUE,117,117
20,S00,Cmax,0.9765919,0.9091659,1.049018,TRUE,117,117
20,Vmax_down_125,AUCinf_A,1.121025,1.032901,1.216668,TRUE,94,103
20,Vmax_down_125,AUCinf_B,1.220638,1.125694,1.323591,FALSE,117,117
20,Vmax_down_125,AUCinf_C,1.239614,1.1419,1.34569,FALSE,117,117
20,Vmax_down_125,AUCinf_true,1.237137,1.141984,1.340219,FALSE,117,117
20,Vmax_down_125,AUClast,1.242255,1.143757,1.349236,FALSE,117,117
20,Vmax_down_125,Cmax,1.035435,0.9658756,1.110003,TRUE,117,117
21,S00,AUCinf_A,1.007869,0.9216634,1.102137,TRUE,95,86
21,S00,AUCinf_B,0.9963463,0.9200104,1.079016,TRUE,117,115
21,S00,AUCinf_C,0.9926598,0.9150899,1.076805,TRUE,117,117
21,S00,AUCinf_true,0.9689423,0.8951424,1.048827,TRUE,117,117
21,S00,AUClast,0.9960651,0.9174886,1.081371,TRUE,117,117
21,S00,Cmax,0.9464716,0.8803695,1.017537,TRUE,117,117
21,Vmax_down_125,AUCinf_A,1.221423,1.12307,1.328391,FALSE,95,101
21,Vmax_down_125,AUCinf_B,1.230964,1.137092,1.332585,FALSE,117,117
21,Vmax_down_125,AUCinf_C,1.252259,1.156183,1.35632,FALSE,117,117
21,Vmax_down_125,AUCinf_true,1.207809,1.116962,1.306046,FALSE,117,117
21,Vmax_down_125,AUClast,1.257943,1.160665,1.363374,FALSE,117,117
21,Vmax_down_125,Cmax,1.008975,0.9408909,1.081985,TRUE,117,117
22,S00,AUCinf_A,0.9483989,0.8744002,1.02866,TRUE,96,98
22,S00,AUCinf_B,0.9822279,0.9098618,1.06035,TRUE,117,114
22,S00,AUCinf_C,0.9726365,0.8971798,1.05444,TRUE,117,117
22,S00,AUCinf_true,0.9673938,0.8957894,1.044722,TRUE,117,117
22,S00,AUClast,0.9623776,0.8875688,1.043492,TRUE,117,117
22,S00,Cmax,0.9535781,0.8925865,1.018737,TRUE,117,117
22,Vmax_down_125,AUCinf_A,1.138231,1.052145,1.231361,TRUE,96,99
22,Vmax_down_125,AUCinf_B,1.20324,1.113965,1.299671,FALSE,117,117
22,Vmax_down_125,AUCinf_C,1.208607,1.117552,1.307081,FALSE,117,117
22,Vmax_down_125,AUCinf_true,1.204047,1.116829,1.298077,FALSE,117,117
22,Vmax_down_125,AUClast,1.208573,1.117522,1.307044,FALSE,117,117
22,Vmax_down_125,Cmax,1.009401,0.947818,1.074985,TRUE,117,117
23,S00,AUCinf_A,0.9461859,0.8672182,1.032344,TRUE,88,86
23,S00,AUCinf_B,0.9298447,0.8573183,1.008507,TRUE,116,116
23,S00,AUCinf_C,0.9329903,0.8575146,1.015109,TRUE,117,117
23,S00,AUCinf_true,0.9259928,0.8533444,1.004826,TRUE,117,117
23,S00,AUClast,0.9357095,0.8595239,1.018648,TRUE,117,117
23,S00,Cmax,1.016304,0.9457505,1.092121,TRUE,117,117
23,Vmax_down_125,AUCinf_A,1.155525,1.064949,1.253804,FALSE,88,106
23,Vmax_down_125,AUCinf_B,1.151367,1.061236,1.249152,TRUE,116,117
23,Vmax_down_125,AUCinf_C,1.17223,1.078777,1.273778,FALSE,117,117
23,Vmax_down_125,AUCinf_true,1.15667,1.066745,1.254176,FALSE,117,117
23,Vmax_down_125,AUClast,1.179012,1.084891,1.281299,FALSE,117,117
