model,weight,timing,definition_day,schedule,schedule_label,n_subjects,min_interval_day,pct_ge1,ge1_lo,ge1_hi,pct_ge2,ge2_lo,ge2_hi,pct_ge3,ge3_lo,ge3_hi,n_cliff_in_day29_57,pct_ge1_cliff_in_day29_57,pct_ge2_cliff_in_day29_57,pct_ge3_cliff_in_day29_57
k2016,obese_130_150,nominal,2,current,현행,20000,7,42.025,41.3425147680699,42.710548207025,0,0,0.0192036056104625,0,0,0.0192036056104625,6054,26.1810373306905,0,0
k2016,obese_130_150,nominal,1,plus_39_46,+Day 39·46,20000,3,21.85,21.2827404053128,22.4280712246459,0,0,0.0192036056104625,0,0,0.0192036056104625,7785,16.9043031470777,0,0
k2016,obese_130_150,nominal,2,plus_39_46,+Day 39·46,20000,3,46.29,45.599736734678,46.9816881728583,0,0,0.0192036056104625,0,0,0.0192036056104625,6054,40.2708952758507,0,0
k2016,obese_130_150,nominal,1,plus_39_46_53,+Day 39·46·53,20000,3,21.89,21.3223555990082,22.468440668066,0,0,0.0192036056104625,0,0,0.0192036056104625,7785,17.0070648683365,0,0
k2016,obese_130_150,nominal,2,plus_39_46_53,+Day 39·46·53,20000,3,46.365,45.6746458012887,47.0567503008392,0,0,0.0192036056104625,0,0,0.0192036056104625,6054,40.5186653452263,0,0
k2016,obese_130_150,nominal,1,plus_32_39_46_53,+Day 32·39·46·53,20000,3,28.485,27.8636601236674,29.1146031878268,0,0,0.0192036056104625,0,0,0.0192036056104625,7785,33.9499036608863,0,0
k2016,obese_130_150,nominal,2,plus_32_39_46_53,+Day 32·39·46·53,20000,3,59.09,58.4069133521236,59.7695954323764,0.005,0.000882628227297485,0.028319057022604,0,0,0.0192036056104625,6054,82.5569871159564,0,0
k2016,obese_130_150,nominal,1,plus_40_47,+Day 40·47,20000,3,21.465,20.9014845519023,22.0394749458196,0,0,0.0192036056104625,0,0,0.0192036056104625,7785,15.9152215799615,0,0
k2016,obese_130_150,nominal,2,plus_40_47,+Day 40·47,20000,3,45.555,44.8657111398327,46.2459960607061,0,0,0.0192036056104625,0,0,0.0192036056104625,6054,37.8427485959696,0,0
k2016,obese_130_150,nominal,1,daily_29_57,Day 29–57 매일,20000,1,54.195,53.5037515552639,54.8846372622254,15.555,15.0593287330905,16.0639006308145,0,0,0.0192036056104625,7785,100,34.553628773282,0
k2016,obese_130_150,nominal,2,daily_29_57,Day 29–57 매일,20000,1,64.37,63.7035817154573,65.0308991682903,41.04,40.3600490659581,41.7233922201674,32.44,31.7946144923436,33.0921298139468,6054,100,100,90.2543772712256
k2016,obese_130_150,windowed,1,current,현행,20000,7,19.565,19.0210779666579,20.1206112680772,0,0,0.0192036056104625,0,0,0.0192036056104625,7785,14.4508670520231,0,0
k2016,obese_130_150,windowed,2,current,현행,20000,7,42.025,41.3425147680699,42.710548207025,0,0,0.0192036056104625,0,0,0.0192036056104625,6054,30.1783944499505,0,0
k2016,obese_130_150,windowed,1,plus_39_46,+Day 39·46,20000,3,21.775,21.2084640350061,22.3523764003611,0,0,0.0192036056104625,0,0,0.0192036056104625,7785,21.1946050096339,0,0
k2016,obese_130_150,windowed,2,plus_39_46,+Day 39·46,20000,3,45.385,44.6959580627717,46.0758144300262,0.625,0.524859047321133,0.744104513219199,0,0,0.0192036056104625,6054,42.5834159233565,2.06475057813016,0
k2016,obese_130_150,windowed,1,plus_39_46_53,+Day 39·46·53,20000,3,22.115,21.5452056230461,22.6955042278028,0.005,0.000882628227297485,0.028319057022604,0,0,0.0192036056104625,7785,21.0789980732177,0.0128452151573539,0
k2016,obese_130_150,windowed,2,plus_39_46_53,+Day 39·46·53,20000,3,45.86,45.170288439046,46.5513016194985,0.53,0.438434606783476,0.640565440607515,0,0,0.0192036056104625,6054,43.1285100759828,1.75090849025438,0
k2016,obese_130_150,windowed,1,plus_32_39_46_53,+Day 32·39·46·53,20000,3,28.565,27.9431176134562,29.1951149722691,0,0,0.0192036056104625,0,0,0.0192036056104625,7785,37.2639691714836,0,0
k2016,obese_130_150,windowed,2,plus_32_39_46_53,+Day 32·39·46·53,20000,3,57.03,56.3426460739473,57.714653899104,2.125,1.93413117669818,2.33425627567384,0,0,0.0192036056104625,6054,78.4770399735712,4.45986124876115,0
k2016,obese_130_150,windowed,1,plus_40_47,+Day 40·47,20000,3,21.405,20.8420746989763,21.9789078430723,0.005,0.000882628227297485,0.028319057022604,0,0,0.0192036056104625,7785,19.4990366088632,0.0128452151573539,0
k2016,obese_130_150,windowed,2,plus_40_47,+Day 40·47,20000,3,44.985,44.2965710694779,45.6753550521649,0.27,0.207009097754091,0.352090808386075,0,0,0.0192036056104625,6054,40.815989428477,0.89197224975223,0
k2016,obese_130_150,windowed,1,daily_29_57,Day 29–57 매일,20000,1,47.52,46.8284435417271,48.2125089571112,18.665,18.1310456358169,19.2109892638191,3.43,3.18657620048606,3.69131003777952,7785,84.354527938343,43.0314707771355,8.56775850995504
k2016,obese_130_150,windowed,2,daily_29_57,Day 29–57 매일,20000,1,64.51,63.844139945474,65.1702871681778,39.34,38.665089056588,40.0190051521282,24.99,24.394807292562,25.5947983509644,6054,99.983481995375,95.6888007928642,69.0287413280476
k2020,base,nominal,1,current,현행,20000,7,18.825,18.2892396807743,19.3727337673238,0,0,0.0192036056104625,0,0,0.0192036056104625,17263,16.8974106470486,0,0
k2020,base,nominal,2,current,현행,20000,7,41.05,40.3700219234687,41.7334155219356,0,0,0.0192036056104625,0,0,0.0192036056104625,16468,37.8309448627642,0,0
k2020,base,nominal,1,plus_39_46,+Day 39·46,20000,3,29.84,29.209791988906,30.4779509048761,0,0,0.0192036056104625,0,0,0.0192036056104625,17263,29.6588078549499,0,0
k2020,base,nominal,2,plus_39_46,+Day 39·46,20000,3,63.575,62.9055284978225,64.2392577232543,0,0,0.0192036056104625,0,0,0.0192036056104625,16468,65.1870293903328,0,0
k2020,base,nominal,1,plus_39_46_53,+Day 39·46·53,20000,3,31.805,31.1631048557324,32.4538833363493,0,0,0.0192036056104625,0,0,0.0192036056104625,17263,31.9353530672537,0,0
k2020,base,nominal,2,plus_39_46_53,+Day 39·46·53,20000,3,67.425,66.7721976070987,68.071109936346,0,0,0.0192036056104625,0,0,0.0192036056104625,16468,69.8627641486519,0,0
k2020,base,nominal,1,plus_32_39_46_53,+Day 32·39·46·53,20000,3,36.27,35.6063815849979,36.9388917251028,0,0,0.0192036056104625,0,0,0.0192036056104625,17263,37.1082662341424,0,0
k2020,base,nominal,2,plus_32_39_46_53,+Day 32·39·46·53,20000,3,78.095,77.516420992797,78.6627885012105,0,0,0.0192036056104625,0,0,0.0192036056104625,16468,82.8212290502793,0,0
k2020,base,nominal,1,plus_40_47,+Day 40·47,20000,3,29.33,28.703050450273,29.9648883202864,0,0,0.0192036056104625,0,0,0.0192036056104625,17263,29.0679487922146,0,0
k2020,base,nominal,2,plus_40_47,+Day 40·47,20000,3,62.475,61.8016273400532,63.143581360347,0,0,0.0192036056104625,0,0,0.0192036056104625,16468,63.8511051736702,0,0
k2020,base,nominal,1,daily_29_57,Day 29–57 매일,20000,1,90.555,90.1418632994594,90.9525606560299,33.95,33.2968576196169,34.6093067377841,0,0,0.0192036056104625,17263,100,37.982969356427,0
k2020,base,nominal,2,daily_29_57,Day 29–57 매일,20000,1,92.24,91.8610490419744,92.6027277520059,88.825,88.3808815168754,89.2542068833681,80.4,79.8440237761233,80.9443004316656,16468,100,100,93.5936361428224
k2020,base,windowed,1,current,현행,20000,7,19.045,18.5067806966672,19.5951082555663,0,0,0.0192036056104625,0,0,0.0192036056104625,17263,18.0559578288826,0,0
k2020,base,windowed,2,current,현행,20000,7,41.41,40.7290641476736,42.0942350317703,0,0,0.0192036056104625,0,0,0.0192036056104625,16468,39.2154481418509,0,0
k2020,base,windowed,1,plus_39_46,+Day 39·46,20000,3,30.235,29.6023329793876,30.8752582059103,0.035,0.0169553177595553,0.0722348453269799,0,0,0.0192036056104625,17263,30.9447952267856,0.0405491513641893,0
k2020,base,windowed,2,plus_39_46,+Day 39·46,20000,3,60.935,60.2567847203333,61.6090154511197,2.785,2.56586799699351,3.02226596778445,0,0,0.0192036056104625,16468,62.9766820500364,3.38231722127763,0
k2020,base,windowed,1,plus_39_46_53,+Day 39·46·53,20000,3,32.7,32.0532247647687,33.3534196827726,0.02,0.00777787560502285,0.0514180485631955,0,0,0.0192036056104625,17263,33.7368939350055,0.0231709436366796,0
k2020,base,windowed,2,plus_39_46_53,+Day 39·46·53,20000,3,64.395,63.7286809456083,65.0557903363364,3.275,3.03716807457745,3.53077769486552,0,0,0.0192036056104625,16468,67.1848433325237,3.9774107359728,0
k2020,base,windowed,1,plus_32_39_46_53,+Day 32·39·46·53,20000,3,36.41,35.7458038185986,37.0794157214063,0.04,0.0202703403745733,0.0789179023514009,0,0,0.0192036056104625,17263,38.2320570005213,0.0463418872733592,0
k2020,base,windowed,2,plus_32_39_46_53,+Day 32·39·46·53,20000,3,73.975,73.3623425722721,74.5784492988377,4.525,4.24556531961407,4.82190035968865,0,0,0.0192036056104625,16468,78.6130677677921,4.95506436725771,0
k2020,base,windowed,1,plus_40_47,+Day 40·47,20000,3,29.125,28.4993870421588,29.7586304631836,0.02,0.00777787560502285,0.0514180485631955,0,0,0.0192036056104625,17263,29.86734634768,0.0231709436366796,0
k2020,base,windowed,2,plus_40_47,+Day 40·47,20000,3,60.06,59.3793493741833,60.7367868603679,2.27,2.07255838952549,2.48577337239026,0,0,0.0192036056104625,16468,62.1204760748118,2.7568617925674,0
k2020,base,windowed,1,daily_29_57,Day 29–57 매일,20000,1,77.5,76.9160215385265,78.0734164783878,38.72,38.0471398916548,39.3971924417709,7.715,7.35326684887389,8.09297364039088,17263,85.2748653188901,43.7293633783236,8.88026414875746
k2020,base,windowed,2,daily_29_57,Day 29–57 매일,20000,1,92.24,91.8610490419744,92.6027277520059,85.29,84.7923285411469,85.7741175540132,59.78,59.0986178579058,60.4576259168368,16468,99.993927617197,96.1258197716784,69.3223220791839
k2020,obese_110_130,nominal,1,current,현행,20000,7,19.905,19.3574306540873,20.4641279961297,0,0,0.0192036056104625,0,0,0.0192036056104625,13149,14.9060765077192,0,0
k2020,obese_110_130,nominal,2,current,현행,20000,7,42.32,41.6368102709153,43.0061394029064,0,0,0.0192036056104625,0,0,0.0192036056104625,11354,32.9311255945041,0,0
