bin,n,pass_pct,lo,hi,config,model,ratio
0.15,491,27.4949083503055,23.7318188139169,31.6074123558628,F3A,k2016,1.16183424272828
0.25,415,0.481927710843374,0.132261602392285,1.73991667785075,F3A,k2016,1.28402541668774
-0.43,196,0,0,1.92225319178681,F3A,k2016,0.650509094723317
-0.49,161,0,0,2.3303960351823,F3A,k2016,0.612626394184416
-0.45,199,0,0,1.89382330566349,F3A,k2016,0.637628151621773
-0.59,89,0,0,4.13765452362525,F3A,k2016,0.554327284734507
0.41,202,0,0,1.86622211225211,F3A,k2016,1.50681778511285
0.61,15,0,0,20.3883301035849,F3A,k2016,1.84043139878164
0.53,73,0,0,4.99920079557311,F3A,k2016,1.69893230861855
0.45,133,0,0,2.80723316880717,F3A,k2016,1.56831218549017
-0.47,143,0,1.73472347597681e-16,2.61605874222815,F3A,k2016,0.625002268282701
-0.55,111,0,0,3.34501046933923,F3A,k2016,0.576949810380487
0.51,81,0,0,4.52780854324152,F3A,k2016,1.66529119494589
-0.39,228,0,0,1.65693350975034,F3A,k2016,0.677056874498165
0.55,29,0,0,11.6969798499741,F3A,k2016,1.7332530178674
-0.65,45,0,6.93889390390723e-16,7.86515987328883,F3A,k2016,0.522045776761016
0.57,31,0,0,11.0255395460436,F3A,k2016,1.76826705143374
0.37,246,0,0,1.53755859368843,F3A,k2016,1.44773461466332
-0.51,133,0,0,2.80723316880717,F3A,k2016,0.600495578812266
-0.69,29,0,0,11.6969798499741,F3A,k2016,0.501576069066056
-0.77,7,0,0,35.4330435066687,F3A,k2016,0.463013068311228
-0.57,94,0,3.46944695195361e-16,3.92620762915447,F3A,k2016,0.565525438699537
-0.63,42,0,0,8.37987908657039,F3A,k2016,0.532591801006897
-0.79,7,0,0,35.4330435066687,F3A,k2016,0.453844795282356
0.59,37,0,0,9.40578258372025,F3A,k2016,1.80398841539786
-0.71,11,0,0,25.8832966968032,F3A,k2016,0.491644197460965
-0.73,13,0,0,22.8095372354198,F3A,k2016,0.481908990090202
-0.75,13,0,0,22.8095372354198,F3A,k2016,0.472366552741015
0.65,1,0,0,79.3450685622763,F3A,k2016,1.9155408290139
0.67,2,0,0,65.7619772493347,F3A,k2016,1.95423732063594
-0.83,7,0,0,35.4330435066687,F3A,k2016,0.436049286321536
-0.81,7,0,0,35.4330435066687,F3A,k2016,0.444858066222941
-0.89,1,0,0,79.3450685622763,F3A,k2016,0.410655752752345
0.03,538,82.8996282527881,79.4875810333338,85.8451826814386,F3B,k2016,1.03045453395352
0.39,218,0,0,1.73162349414544,F3B,k2016,1.47698079388264
0.01,547,84.6435100548446,81.3814651831787,87.4223610232597,F3B,k2016,1.01005016708417
