scenario,n_trials,P2_minus_F3A,P2_minus_F3A_lo,P2_minus_F3A_hi,P2_minus_F3B,P2_minus_F3B_lo,P2_minus_F3B_hi,P2_minus_F3C,P2_minus_F3C_lo,P2_minus_F3C_hi,G2_minus_P2,G2_minus_P2_lo,G2_minus_P2_hi,P2_pass_AUCinfA_fail,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,model,region
ka_down_070,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,ka,down,0.7,0.34702805275494,0.700016985892441,0.523767519932033,k2016,범위 밖
ka_down_075,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,ka,down,0.75,0.388905199928032,0.750257601010362,0.575478930890891,k2016,범위 밖
ka_down_080,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,k2016,경계
ka_down_085,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,ka,down,0.85,0.50974945583338,0.849560255474036,0.698251617539185,k2016,범위 안
ka_down_090,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,ka,down,0.9,0.606110884808604,0.899805424112438,0.7766105876189,k2016,범위 안
ka_down_095,2000,0.6,0.261459593495079,0.938540406504921,0,0,0,0.05,-0.0479981992270027,0.147998199227003,-0.5,-0.86611186175726,-0.13388813824274,0.6,ka,down,0.95,0.751019202887681,0.949908155007994,0.873047962827497,k2016,범위 안
ka_up_105,2000,0.1,-0.0385557131705266,0.238555713170527,0,0,0,0,0,0,-0.1,-0.238555713170527,0.0385557131705266,0.1,ka,up,1.05,1.54918815118162,1.05006636245644,1.1868009360223,k2016,범위 안
ka_up_111,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,ka,up,1.11,6.04296390238133,1.11032654787836,1.66159034945477,k2016,범위 안
ke_down_105,2000,2.7,1.98947396457569,3.41052603542431,0.15,-0.0196529274765803,0.31965292747658,0.05,-0.0479981992270027,0.147998199227003,-1.55,-2.4074578050954,-0.692542194904601,2.7,ke,down,1.05,0.911245541985472,1.05008025202458,1.01506501555001,k2016,범위 안
ke_down_111,2000,6.5,5.41930242307813,7.58069757692188,1.05,0.603168025631342,1.49683197436866,0.45,0.156594275414347,0.743405724585653,1.3,-0.356734561961333,2.95673456196133,6.5,ke,down,1.11,0.816788049644061,1.10959794791165,1.03184779137821,k2016,범위 안
ke_down_118,2000,6.25,5.18887305939993,7.31112694060007,2.2,1.55698298983001,2.84301701016999,0.65,0.297724607057314,1.00227539294269,7.25,5.32793615857607,9.17206384142393,6.25,ke,down,1.18,0.719069442368983,1.17928173323279,1.05010396454253,k2016,범위 안
ke_down_125,10000,1.13,0.922823116581189,1.33717688341881,0.43,0.301746776865786,0.558253223134214,0.14,0.0667125509060202,0.21328744909398,3.58,3.11155600994061,4.04844399005939,1.13,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,k2016,경계
ke_down_133,2000,0,0,0,0,0,0,0,0,0,0.4,0.123304969726386,0.676695030273614,0,ke,down,1.33,0.546140882173227,1.32896073842499,1.08495408323507,k2016,범위 밖
ke_down_143,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,ke,down,1.43,0.452479552570213,1.42880724339599,1.1053943362912,k2016,범위 밖
ke_up_070,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,ke,up,0.7,1.81191583652074,0.700620455359482,0.886245464660751,k2016,범위 밖
ke_up_075,2000,0.1,-0.0385557131705266,0.238555713170527,0.05,-0.0479981992270027,0.147998199227003,0,0,0,0.2,-0.0771114263410533,0.477111426341053,0.1,ke,up,0.75,1.63019509970504,0.750355682962533,0.908598631111101,k2016,범위 밖
ke_up_080,10000,1.38,1.15133913127285,1.60866086872715,0.41,0.284752345572606,0.535247654427394,0.2,0.112431063510116,0.287568936489884,2.04,1.61243755677704,2.46756244322296,1.38,ke,up,0.8,1.47110350143772,0.800334236753497,0.929468091140586,k2016,경계
ke_up_085,2000,6.2,5.14284429482979,7.25715570517021,1.7,1.13331343884613,2.26668656115387,0.9,0.486000538785619,1.31399946121438,3.35,1.61647873290209,5.08352126709791,6.2,ke,up,0.85,1.33152387602738,0.850272484687047,0.948898250132683,k2016,범위 안
ke_up_090,2000,7.9,6.71754382196172,9.08245617803829,1.45,0.925972583463699,1.9740274165363,0.85,0.447563358395663,1.25243664160434,-0.1,-1.83696127884098,1.63696127884098,7.9,ke,up,0.9,1.20790074742528,0.900285812983383,0.967079967451048,k2016,범위 안
ke_up_095,2000,2.45,1.7722986152937,3.1277013847063,0.4,0.123304969726386,0.676695030273614,0.35,0.0911105411853887,0.608889458814611,-0.95,-1.82024900198563,-0.079750998014373,2.45,ke,up,0.95,1.09822191087231,0.950136838158432,0.98405615669767,k2016,범위 안
F_down_070,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,F,down,0.7,0.804333575446786,0.69965847781589,0.775278894294739,k2020,범위 밖
