model,scenario,region,mechanism,direction,target,multiplier,auc_ratio,contrast,a,b,flag_set,meaning,n_trials,pct_a,pct_b,est,lo,hi,note
k2020,V2_up_080,boundary,V2,up,0.8,2.27730854120339,0.79979742585522,subst_i,G2_Ci,P2,(i),rule C minus P2,20000,4.625,5.18,-0.555,-0.677553309091353,-0.432446690908647,""
k2020,V2_up_080,boundary,V2,up,0.8,2.27730854120339,0.79979742585522,flag_A,G2_Ai,G2_Aii,(i) vs (ii),"flag set (i) minus (ii), rule A",20000,2.295,1.06,1.235,1.06025367128735,1.40974632871265,""
k2020,V2_up_080,boundary,V2,up,0.8,2.27730854120339,0.79979742585522,flag_C,G2_Ci,G2_Cii,(i) vs (ii),"flag set (i) minus (ii), rule C",20000,4.625,5.005,-0.38,-0.489879313911593,-0.270120686088407,""
k2020,Vmax_up_080,boundary,Vmax,up,0.8,1.3969545986339,0.80009024618209,extrap,G2_B,P2,-,extrapolation effect (rule B minus AUClast),10000,11.87,2.76,9.11,8.54598968460716,9.67401031539284,""
k2020,Vmax_up_080,boundary,Vmax,up,0.8,1.3969545986339,0.80009024618209,sel_ii,G2_B,G2_Aii,(ii),dropout/selection effect (rule B minus rule A),10000,11.87,23.29,-11.42,-12.1303929873764,-10.7096070126236,""
k2020,Vmax_up_080,boundary,Vmax,up,0.8,1.3969545986339,0.80009024618209,sel_i,G2_B,G2_Ai,(i),dropout/selection effect (rule B minus rule A),10000,11.87,17.37,-5.5,-6.06050576422855,-4.93949423577145,""
k2020,Vmax_up_080,boundary,Vmax,up,0.8,1.3969545986339,0.80009024618209,total_ii,G2_Aii,P2,(ii),total G2-A minus P2 = extrapolation minus selection,10000,23.29,2.76,20.53,19.7324885910553,21.3275114089447,""
k2020,Vmax_up_080,boundary,Vmax,up,0.8,1.3969545986339,0.80009024618209,total_i,G2_Ai,P2,(i),total G2-A minus P2 = extrapolation minus selection,10000,17.37,2.76,14.61,13.91658450082,15.30341549918,""
k2020,Vmax_up_080,boundary,Vmax,up,0.8,1.3969545986339,0.80009024618209,subst_ii,G2_Cii,P2,(ii),rule C minus P2,10000,3.18,2.76,0.42,0.281647389202932,0.558352610797068,""
k2020,Vmax_up_080,boundary,Vmax,up,0.8,1.3969545986339,0.80009024618209,subst_i,G2_Ci,P2,(i),rule C minus P2,10000,4.24,2.76,1.48,1.24170159928546,1.71829840071454,""
k2020,Vmax_up_080,boundary,Vmax,up,0.8,1.3969545986339,0.80009024618209,flag_A,G2_Ai,G2_Aii,(i) vs (ii),"flag set (i) minus (ii), rule A",10000,17.37,23.29,-5.92,-6.5199690520489,-5.3200309479511,""
k2020,Vmax_up_080,boundary,Vmax,up,0.8,1.3969545986339,0.80009024618209,flag_C,G2_Ci,G2_Cii,(i) vs (ii),"flag set (i) minus (ii), rule C",10000,4.24,3.18,1.06,0.853609660652688,1.26639033934731,""
k2020,ka_down_080,boundary,ka,down,0.8,0.424232725036545,0.800570249731887,extrap,G2_B,P2,-,extrapolation effect (rule B minus AUClast),10000,0,0,0,0,0,""
k2020,ka_down_080,boundary,ka,down,0.8,0.424232725036545,0.800570249731887,sel_ii,G2_B,G2_Aii,(ii),dropout/selection effect (rule B minus rule A),10000,0,0,0,0,0,""
k2020,ka_down_080,boundary,ka,down,0.8,0.424232725036545,0.800570249731887,sel_i,G2_B,G2_Ai,(i),dropout/selection effect (rule B minus rule A),10000,0,0,0,0,0,""
k2020,ka_down_080,boundary,ka,down,0.8,0.424232725036545,0.800570249731887,total_ii,G2_Aii,P2,(ii),total G2-A minus P2 = extrapolation minus selection,10000,0,0,0,0,0,""
k2020,ka_down_080,boundary,ka,down,0.8,0.424232725036545,0.800570249731887,total_i,G2_Ai,P2,(i),total G2-A minus P2 = extrapolation minus selection,10000,0,0,0,0,0,""
k2020,ka_down_080,boundary,ka,down,0.8,0.424232725036545,0.800570249731887,subst_ii,G2_Cii,P2,(ii),rule C minus P2,10000,0,0,0,0,0,""
k2020,ka_down_080,boundary,ka,down,0.8,0.424232725036545,0.800570249731887,subst_i,G2_Ci,P2,(i),rule C minus P2,10000,0,0,0,0,0,""
k2020,ka_down_080,boundary,ka,down,0.8,0.424232725036545,0.800570249731887,flag_A,G2_Ai,G2_Aii,(i) vs (ii),"flag set (i) minus (ii), rule A",10000,0,0,0,0,0,""
k2020,ka_down_080,boundary,ka,down,0.8,0.424232725036545,0.800570249731887,flag_C,G2_Ci,G2_Cii,(i) vs (ii),"flag set (i) minus (ii), rule C",10000,0,0,0,0,0,""
k2020,ke_up_080,boundary,ke,up,0.8,1.45683866187482,0.800201954152666,extrap,G2_B,P2,-,extrapolation effect (rule B minus AUClast),10000,4.83,3.77,1.06,0.806797920617013,1.31320207938299,""
k2020,ke_up_080,boundary,ke,up,0.8,1.45683866187482,0.800201954152666,sel_ii,G2_B,G2_Aii,(ii),dropout/selection effect (rule B minus rule A),10000,4.83,5.88,-1.05,-1.45259954783876,-0.647400452161243,""
k2020,ke_up_080,boundary,ke,up,0.8,1.45683866187482,0.800201954152666,sel_i,G2_B,G2_Ai,(i),dropout/selection effect (rule B minus rule A),10000,4.83,4.25,0.58,0.271538548720949,0.888461451279052,""
k2020,ke_up_080,boundary,ke,up,0.8,1.45683866187482,0.800201954152666,total_ii,G2_Aii,P2,(ii),total G2-A minus P2 = extrapolation minus selection,10000,5.88,3.77,2.11,1.69303261709817,2.52696738290183,""
k2020,ke_up_080,boundary,ke,up,0.8,1.45683866187482,0.800201954152666,total_i,G2_Ai,P2,(i),total G2-A minus P2 = extrapolation minus selection,10000,4.25,3.77,0.48,0.147499530104076,0.812500469895924,""
k2020,ke_up_080,boundary,ke,up,0.8,1.45683866187482,0.800201954152666,subst_ii,G2_Cii,P2,(ii),rule C minus P2,10000,4.11,3.77,0.34,0.190874959433933,0.489125040566067,""
k2020,ke_up_080,boundary,ke,up,0.8,1.45683866187482,0.800201954152666,subst_i,G2_Ci,P2,(i),rule C minus P2,10000,4.3,3.77,0.53,0.362854744110249,0.697145255889751,""
