variant,schedule,n_points,n,tlast_median,tlast_p05,tlast_p95,quant_at_last_pct,lambda_ok_pct,adj_r2_ge080_pct,reliable_pct,flag_rsq_pct,flag_extrap_pct,flag_span_pct,reliable_no_span_pct,n_lambda_median,n_lambda_eq3_pct,extrap_median,extrap_p95,extrap_gt20_pct,extrap_true_median,extrap_true_p95,coverage_lt80_pct,err_tlast_median,err_tlast_sd,err_inf_sd,err_inf_median,AUClast_geo,AUClast_logcv,AUClast_mean,Cmax_geo,Cmax_logcv,Cmax_mean,AUCinf_geo,AUCinf_true_geo
vmax080_both,D1,15,20000,41.5757008888759,27.3516533415765,56.0658039778704,11.345,99.74,92.405,83.765,7.335,0.39,9.275,92.185,4,44.8315620613595,1.13673253716781,8.15036951099035,0.391016643272509,0.231885459348452,2.53685500494871,0.005,-0.0217655641950363,0.0906703320813152,0.0910696310754744,-0.0273041946169246,628.381613354679,38.0810612288893,671.473007220088,37.6626020355501,32.2080263722157,39.4997069230423,640.036374704839,648.706299049429
vmax080_both,D2,16,20000,41.5757008888759,27.3516533415765,56.0629648344358,11.295,99.74,92.16,84.08,7.58,0.345,8.68,91.975,4,44.9418488068979,0.972965380259788,8.02005064241026,0.345899338279527,0.187778625002799,2.53685500494871,0.005,-0.0216204255120447,0.0906288374443567,0.0910646067519059,-0.0267850588434729,628.707653729568,38.1350311330753,671.943919996402,37.6626020355501,32.2080263722157,39.4997069230423,638.801661766857,648.706299049429
vmax080_both,D3,17,20000,41.5757008888759,28.2810067994054,56.0629648344358,11.295,99.89,93.31,83.945,6.58,0.21,9.77,93.21,4,43.2225447992792,0.808903621755047,5.32465726679605,0.210231254379818,0.164810524858644,1.38361243707053,0.005,-0.0202060946567054,0.0892489714789151,0.089517326566449,-0.0241786798942397,630.677642671014,37.8800043339521,673.48067954427,37.6633593509477,32.2030758202254,39.5000782892052,635.012990908129,648.706299049429
vmax080_both,D4,15,20000,41.4492760002613,27.3516533415765,56.0649825411849,11.33,99.74,91.605,83.23,8.135,0.35,9.005,91.425,4,45.0972528574293,1.15109388340146,8.21921265780397,0.350912372167636,0.229159743722918,2.54168074916587,0.005,-0.0220706331393186,0.0907761154070188,0.0911686229981662,-0.0277223440754345,628.269764816054,38.0859485716769,671.3662129607,37.6626817705852,32.2077857471033,39.4997641562852,639.88515277878,648.706299049429
vmax125_both,B0,13,20000,28.2418938931078,20.200304371817,42.670634926809,0.975,96.02,81.105,79.605,,,,,3,57.6650697771298,3.56091901307767,16.6997564247199,3.13997083940846,0.934976552375433,5.27622789049233,0,-0.0319083564817813,0.0975965864131167,0.0990885839530329,-0.0479275835010171,467.409822513972,42.2626846874196,505.778526226533,34.6946375070926,35.9586259780545,36.7424607750682,519.613785493173,492.934059111858
vmax125_both,Bminus,12,20000,28.2296697671991,20.1992174859857,42.2387262084521,0.975,95.99,81.055,79.46,,,,,3,57.4695280758412,3.80511904109902,17.0179896185053,3.28680070840713,1.02670326763694,5.34266844291628,0,-0.0319821015351371,0.0975715229697635,0.0989772383870126,-0.0487501042489697,467.038173555342,42.1602446966195,505.128089802944,34.6946375070926,35.9586259780545,36.7424607750682,520.151731701635,492.934059111858
vmax125_both,D1,15,20000,28.2718051844277,20.2037583732978,45.2341446450213,0.975,96.11,81.02,79.585,,,,,3,56.2168348767038,2.52182091025814,16.4109987279808,3.0277806679846,0.546664264552288,5.26573787904042,0,-0.0315346499981947,0.0974792993219054,0.0992301394934554,-0.0456744900564058,468.379644368421,42.423785264044,507.132522312149,34.6946375070926,35.9586259780545,36.7424607750682,517.045334378147,492.934059111858
vmax125_both,D2,16,20000,28.2896853026468,20.2069056249456,45.5682882025838,0.975,96.13,81.085,79.665,,,,,3,56.0855092062832,2.45795551314044,16.2496676387046,3.00634557370228,0.522945236319516,5.25193104307734,0,-0.0313495283381334,0.0974953293836077,0.0992527134009273,-0.0452166229076565,468.53195904391,42.4139366966221,507.290014521176,34.6946375070926,35.9586259780545,36.7424607750682,516.737824448152,492.934059111858
vmax125_both,D3,17,20000,30.7393965532538,20.2091892931843,45.5682882025838,0.975,96.89,83.49,82.37,,,,,3,52.6163690783363,1.4950457693737,14.5032958189716,2.42027040974301,0.292803100872785,5.17340303874666,0,-0.0299848439505787,0.0968242651235929,0.0986731930878243,-0.0403894001604228,470.689807380946,42.4858292097724,509.660445144333,34.694649370021,35.9585666854091,36.7424676048252,512.857222333851,492.934059111858
vmax125_both,D4,15,20000,28.264572665561,20.206106208358,46.0400124778971,0.975,96.115,80.73,79.285,,,,,3,56.6196743484368,2.64193704013274,16.4107432238538,3.04322946470374,0.587990830872909,5.26444003003383,0,-0.0315130311710618,0.0974412079658822,0.0991135861216959,-0.0460323088584057,468.301345235881,42.4057713271639,507.018181085789,34.6946375070926,35.9586259780545,36.7424607750682,516.471301237169,492.934059111858
weight_alt,B0,13,20000,34.9533431520686,21.265281119477,49.8024851002032,4.21,98.795,87.605,81.825,11.19,0.845,7.48,87.17,3,50.5693607976112,2.60712085144904,11.6361778263537,0.855306442633737,0.616908470345828,3.40558168018532,0,-0.0253435690341092,0.0933444107083092,0.0938688290686701,-0.0355599271200094,578.464895971107,40.7870681781328,623.793767146358,37.7862781350542,34.3559510826112,39.8632877650993,618.779340916803,602.383916698216
weight_alt,Bminus,12,20000,34.9516594414599,21.265281119477,42.9513199515175,4.36,98.775,87.78,79.535,10.995,1.23,10.43,87.105,3,50.4378638319413,3.21188053822677,13.0006978411849,1.2452543659833,0.841890322820516,3.98155131394121,0,-0.025477827137235,0.093567252080812,0.0940829716004259,-0.0382679385239631,577.001187606392,40.4535074672956,621.41394481784,37.7862781350542,34.3559510826112,39.8632877650993,614.187964504274,602.383916698216
weight_alt,D1,15,20000,37.1319432691671,21.265281119477,49.778764342214,4.15,98.86,88.075,80.99,10.785,0.73,8.425,87.685,4,49.2008901476836,1.41970881225241,10.8239375464942,0.738417964798705,0.27760493767835,3.37482190101136,0,-0.0242512121603192,0.0928681906358486,0.0935981270677525,-0.0320437017176178,580.385628480954,40.9428139698124,626.139497278953,37.7862781350542,34.3559510826112,39.8632877650993,609.232066128702,602.383916698216
weight_alt,D2,16,20000,37.1319432691671,21.265281119477,52.4542013658211,4.11,98.86,87.905,81.295,10.955,0.725,7.955,87.52,4,49.4588306696338,1.30062452005471,10.7975939027677,0.733360307505564,0.245749730359018,3.37482190101136,0,-0.0242051470089374,0.0928444782510533,0.0936058503364167,-0.0317414364548622,580.540400727372,40.9832105031671,626.410351296625,37.7862781350542,34.3559510826112,39.8632877650993,609.935349336806,602.383916698216
weight_alt,D3,17,20000,37.1275845870841,21.2735047167633,52.4542013658211,4.11,99.285,90.54,83.255,8.745,0.495,8.005,90.27,4,47.4593342398147,0.967261589557922,7.18238543931526,0.498564737875812,0.187444289589739,2.40168956315734,0,-0.0225596601301514,0.091663244632246,0.0922329970697838,-0.0274530795147334,583.088096020121,40.8093880743456,628.716900257537,37.7862781350542,34.3559510826112,39.8632877650993,603.080345284841,602.383916698216
weight_alt,D4,15,20000,35.5877948340494,21.265281119477,49.7743197308388,4.125,98.855,87.61,80.97,11.245,0.705,8,87.245,4,49.1173941631683,1.46495649087594,10.8583219316469,0.713165747812453,0.287671381610233,3.386183408765,0,-0.0243699261847378,0.0929966252682285,0.0937050731433087,-0.0322935612576834,580.271938591131,40.9467564753175,626.035620459145,37.7862781350542,34.3559510826112,39.8632877650993,610.869911330057,602.383916698216
