variant,scenario,analysis_model,decision,n_trials,pass_pct,lo,hi
base,F090,M1,AUCinf_Ciii,2000,22.95,21.1599552160606,24.8437570418552
base,KE120,M0,AUCinf_Ciii,2000,66.75,64.65493097271,68.780847943368
base,KE120,M1,AUCinf_Ciii,2000,73.3,71.3178427819812,75.1928228147124
base,KM10,M0,AUCinf_Ciii,2000,97.8,97.059621091344,98.3571091885682
base,KM10,M1,AUCinf_Ciii,2000,98.8,98.220611612952,99.1922845723977
base,S00,M0,AUCinf_Ciii,2000,97.65,96.8891278302657,98.2281775638309
base,S00,M1,AUCinf_Ciii,2000,98.5,97.8667562174291,98.9472901962893
base,VM125,M0,AUCinf_Ciii,2000,26.9,25.0022169401977,28.8863506441962
base,VM125,M1,AUCinf_Ciii,2000,35.35,33.2847702713636,37.4713992139772
k2016_bmi_vc0817,F090,M0,AUCinf_Ciii,2000,12.9,11.5017574354189,14.4404874728501
k2016_bmi_vc0817,F090,M1,AUCinf_Ciii,2000,21.5,19.755057667839,23.3542140271924
k2016_bmi_vc0817,KE120,M0,AUCinf_Ciii,2000,56.75,54.5678572704784,58.9062625912247
k2016_bmi_vc0817,KE120,M1,AUCinf_Ciii,2000,69.5,67.4464185749632,71.4788165810679
k2016_bmi_vc0817,KM10,M0,AUCinf_Ciii,2000,94.75,93.683920970839,95.6445032974889
k2016_bmi_vc0817,KM10,M1,AUCinf_Ciii,2000,97.6,96.8324527691542,98.1850443296705
k2016_bmi_vc0817,S00,M0,AUCinf_Ciii,2000,94.65,93.5754264314357,95.5533812463484
k2016_bmi_vc0817,S00,M1,AUCinf_Ciii,2000,97.45,96.66286379544,98.0552084175691
k2016_bmi_vc0817,VM125,M0,AUCinf_Ciii,2000,20.8,19.0780012562549,22.6339543049703
k2016_bmi_vc0817,VM125,M1,AUCinf_Ciii,2000,31.85,29.844620311181,33.9249685051285
struct2020,F090,M0,AUCinf_Ciii,2000,17.5,15.8974860870466,19.2271219862348
struct2020,F090,M1,AUCinf_Ciii,2000,22.7,20.9175054182698,24.5871653632866
struct2020,KE120,M0,AUCinf_Ciii,2000,61,58.8432392451616,63.1145857146508
struct2020,KE120,M1,AUCinf_Ciii,2000,68,65.9227778954632,70.0082084024118
struct2020,KM10,M0,AUCinf_Ciii,2000,96.9,96.0459271791827,97.5742537858358
struct2020,KM10,M1,AUCinf_Ciii,2000,97.85,97.1166166260916,98.3999219490926
struct2020,S00,M0,AUCinf_Ciii,2000,96.7,95.8232230539599,97.397724729971
struct2020,S00,M1,AUCinf_Ciii,2000,97.85,97.1166166260916,98.3999219490926
struct2020,VM125,M0,AUCinf_Ciii,2000,28.25,26.3200280676264,30.2633634891081
struct2020,VM125,M1,AUCinf_Ciii,2000,35.65,33.5802228540991,37.7747964028728
base,F090,M0,AUCinf_Civ,2000,15.55,14.0280173169077,17.2040672407706
base,F090,M1,AUCinf_Civ,2000,21.15,19.4164313401802,22.9941822879481
base,KE120,M0,AUCinf_Civ,2000,65.8,63.692461519033,67.8469597868794
base,KE120,M1,AUCinf_Civ,2000,72.8,70.8074530031474,74.7051296408275
base,KM10,M0,AUCinf_Civ,2000,97.45,96.66286379544,98.0552084175691
