set,n,fail_pct,lz_fail_pct,est_fail_pct,fail_per_arm,wt_fail_mean,wt_retained_mean,wt_diff,wt_diff_lo,wt_diff_hi,auclast_gm_ratio_fail_to_retained,extrap_true_median_fail,extrap_true_median_retained,auclast_over_true_fail_median,auclast_over_true_fail_p05,band,variant,distribution
ii,2581,31.6156528477334,5.34676481983727,26.2688880278962,36.9903138318481,114.170650502695,112.463294376258,1.70735612643696,0.68073556345759,2.73397668941634,0.754324493367326,2.69960774765884,0.738966542390451,0.924590140623186,0.766460625047144,above 100,base,primary
ii,3230,15.6037151702786,0.402476780185759,15.2012383900929,18.256346749226,53.7370096600725,53.5079680199608,0.229041640111682,-0.218169740844668,0.676253021068031,0.92314364527858,0.993814569193169,0.48043425178651,0.940274183392437,0.794357434265909,below 60,base,primary
iii,2265,41.9867549668874,3.13465783664459,38.8520971302428,49.1245033112583,94.5330286132686,94.5894805193634,-0.0564519060947504,-0.293364019358913,0.180460207169412,0.86060849942745,0.607966073514921,0.95905468238095,0.942688243581367,0.785840236002734,above 90-100,base,primary
iii,11924,38.7705467963771,1.29989936262999,37.4706474337471,45.3615397517612,74.6883239712394,74.3476035116882,0.340720459551136,0.0386635362605997,0.642777382841672,0.915158325258783,0.406113684869514,0.770641614587553,0.955986273766172,0.802810394792998,60-90,base,primary
iii,2581,47.4622239442077,5.34676481983727,42.1154591243704,55.530802014723,113.27268779313,112.759530116305,0.513157676825543,-0.400734579051889,1.42704993270297,0.864376642424882,1.1230675764023,1.1135101099682,0.942976153730956,0.785118157251359,above 100,base,primary
iii,3230,33.8699690402477,0.402476780185759,33.4674922600619,39.6278637770898,53.662768710752,53.4827269295539,0.180041781198142,-0.168755564619374,0.528839127015658,0.915949591753074,0.224856565445841,0.628490589364728,0.960981922286013,0.81524105169962,below 60,base,primary
iv,2265,69.8896247240618,3.13465783664459,66.7549668874172,81.7708609271523,94.5811669331087,94.5300591767606,0.051107756348074,-0.205019434493956,0.307234947190104,0.872959765949453,1.2511493983495,0.398828286984643,0.9447506505545,0.793218328526303,above 90-100,base,primary
iv,11924,65.7245890640725,1.29989936262999,64.4246897014425,76.8977692049648,74.6451163211708,74.1625148883925,0.48260143277821,0.171838151540783,0.793364714015638,0.909221696850853,0.971230276897217,0.376743675290547,0.955909473748403,0.804661347621309,60-90,base,primary
iv,2581,73.7698566447114,5.34676481983727,68.4230918248741,86.3107322743123,113.110651434652,112.700568763245,0.410082671406514,-0.605924894141813,1.42609023695484,0.876403395583892,1.64261113200845,0.429636586192184,0.946436325916116,0.7870948542901,above 100,base,primary
iv,3230,60.8359133126935,0.402476780185759,60.4334365325077,71.1780185758514,53.6415165987913,53.3917735766521,0.249743022139164,-0.0911647082244405,0.590650752502768,0.97010062608522,0.719084369612721,0.348158716723845,0.963391153621449,0.815576586133989,below 60,base,primary
i,20000,8.875,1.01,7.865,10.38375,83.5197390049958,77.8407168676573,5.67902213733856,4.70351646882079,6.65452780585634,0.69660520596757,0.108334197450177,0.698120620033293,0.947365146068613,0.842999944803966,all,struct2020,primary
ii,20000,17.26,1.01,16.25,20.1942,82.129235092184,77.5552623947729,4.57397269741109,3.84517028240524,5.30277511241695,0.769418655740561,1.96061185649988,0.588489271236425,0.944232131101175,0.845819670738376,all,struct2020,primary
iii,20000,33.61,1.01,32.6,39.3237,80.1361379222642,77.4378281769439,2.69830974532026,2.13911662376169,3.25750286687883,0.849903630179473,0.168433394299927,0.903332172071514,0.962741871004458,0.863480323571522,all,struct2020,primary
iv,20000,72.66,1.01,71.65,85.0122,79.1630983833333,76.1697980871109,2.99330029622233,2.41708009016567,3.56952050227899,0.868356347733825,0.958131255520028,0.361736142629859,0.961641559729328,0.866141875148212,all,struct2020,primary
i,2265,11.3465783664459,1.72185430463576,9.62472406181015,13.2754966887417,94.7521735506796,94.5419218182954,0.210251732384165,-0.171745522349356,0.592248987117687,0.682860384212079,0.534597725236885,0.828652724656148,0.940566120089895,0.837002237330531,above 90-100,struct2020,primary
i,11924,8.2019456558202,0.687688695068769,7.51425696075143,9.59627641730963,75.3437648888765,74.40250072141,0.941264167466429,0.39219294877721,1.49033538615565,0.762174146261552,0.0485770046220357,0.680609756638617,0.951544155183262,0.849897408233021,60-90,struct2020,primary
i,2581,13.5993800852383,2.90585044556374,10.6935296396745,15.9112746997288,113.879602316723,112.865123305437,1.01447901128576,-0.446076660008099,2.47503468257961,0.69378742096242,2.02165878958623,0.931841144515427,0.934969147834215,0.809345201566437,above 100,struct2020,primary
i,3230,5.85139318885449,0.185758513931889,5.6656346749226,6.84613003095975,54.1708235812279,53.5047313496342,0.66609223159368,0.0536233486996427,1.27856111448772,0.851450017636931,0.0191285934367791,0.566524336841945,0.965526577367723,0.858905914082525,below 60,struct2020,primary
ii,2265,20.3973509933775,1.72185430463576,18.6754966887417,23.8649006622517,94.7005751802244,94.5312378704372,0.169337309787238,-0.125003434166816,0.463678053741292,0.74555396620789,2.32963435383156,0.694023126909193,0.939111345711891,0.834893623184668,above 90-100,struct2020,primary
ii,11924,16.0013418316001,0.687688695068769,15.3136531365314,18.7215699429722,75.2059601817766,74.3413541265022,0.864606055274422,0.453802561639401,1.27540954890944,0.816127872692787,1.73499870385535,0.579799594042363,0.945684314541591,0.849505721885578,60-90,struct2020,primary
