variant,scenario,kind,true_ratio,analysis_model,endpoint,n,gmr,mean_log,sd_log,bias_pct,bias_lo,bias_hi,not_estimable_pct
base,KE120,AUC,0.904240021287649,M0,AUCinf_Ai,2000,0.905043373739246,-0.099772409646965,0.0540941488222336,0.0888428329519408,-0.148164796502359,0.32641302208587,0
base,KE120,AUC,0.904240021287649,M1,AUCinf_Ai,2000,0.904542350926218,-0.1003261527706,0.0529915887204127,0.0334346668419361,-0.198619289060298,0.266028184802991,0
base,KE120,AUC,0.904240021287649,M0,AUCinf_Aiii,2000,0.905155532905219,-0.0996484904845965,0.0667441119006933,0.101246527030052,-0.191140753411689,0.394490347887255,0
base,KE120,AUC,0.904240021287649,M1,AUCinf_Aiii,2000,0.90492200174146,-0.09990652491747,0.0635738954739277,0.0754202908249235,-0.203026639193693,0.354644125094517,0
base,KE120,AUC,0.904240021287649,M0,AUCinf_Aiv,2000,0.9106360588919,-0.0936119578188048,0.0906245097783131,0.707338478022979,0.30814293516741,1.10812269630181,0
base,KE120,AUC,0.904240021287649,M1,AUCinf_Aiv,2000,0.908651481926574,-0.0957936665459735,0.0829580614259151,0.487863900631536,0.123173763135642,0.853882390909155,0
base,KE120,AUC,0.904240021287649,M0,AUCinf_B,2000,0.905469238977512,-0.099301973547124,0.0512958094847715,0.135939314885936,-0.0889272324881452,0.361311961961763,0
base,KE120,AUC,0.904240021287649,M1,AUCinf_B,2000,0.905180061227346,-0.09962139239051,0.0510107993974861,0.103959116779473,-0.119588005250504,0.328006570303563,0
base,KE120,AUC,0.904240021287649,M0,AUCinf_C,2000,0.90304185101475,-0.10198638000042,0.054154908325899,-0.132505777746172,-0.369254567102872,0.104805588845269,0
base,KE120,AUC,0.904240021287649,M1,AUCinf_C,2000,0.903039108026877,-0.101989417503095,0.0540110885630928,-0.132809125066313,-0.36892920480337,0.10387054608747,0
base,KE120,AUC,0.904240021287649,M0,AUCinf_Ci,2000,0.903102395664227,-0.10191933701688,0.053869166600908,-0.125810138529547,-0.36132701521574,0.110263431632607,0
base,KE120,AUC,0.904240021287649,M1,AUCinf_Ci,2000,0.903099634932708,-0.101922393963415,0.0537187559188547,-0.126115448121522,-0.360974782692136,0.109297473830305,0
base,KE120,AUC,0.904240021287649,M0,AUCinf_Ciii,2000,0.903074485979456,-0.101950241725115,0.0540811431018097,-0.128896673532941,-0.365331909991984,0.108099628889491,0
base,KE120,AUC,0.904240021287649,M1,AUCinf_Ciii,2000,0.903072146846307,-0.10195283191697,0.0539296783268574,-0.129155358516309,-0.364928583596336,0.107175792732428,0
base,KE120,AUC,0.904240021287649,M0,AUCinf_Civ,2000,0.902878305554621,-0.102167501474679,0.0544623385108662,-0.150592287553109,-0.388640345305136,0.088024649872831,0
base,KE120,AUC,0.904240021287649,M1,AUCinf_Civ,2000,0.902875342604502,-0.102170783151692,0.0543208311878262,-0.150919960521501,-0.388349464284199,0.0870754687022579,0
base,KE120,AUC,0.904240021287649,M0,AUCinf_true,2000,0.904637310240931,-0.100221177773546,0.0512631371726445,0.043936227542396,-0.180580782480355,0.268958228359351,0
base,KE120,AUC,0.904240021287649,M1,AUCinf_true,2000,0.904635242844253,-0.100223463108251,0.0511235015945378,0.0437075939241582,-0.180198027743927,0.268115457897111,0
base,KE120,AUC,0.904240021287649,M0,AUClast,2000,0.902516699878723,-0.102568084925553,0.0542714232982792,-0.190582297659458,-0.427701875749786,0.0471019524869831,0
base,KE120,AUC,0.904240021287649,M1,AUClast,2000,0.902513717116865,-0.102571389869148,0.0541283237107056,-0.190912161610124,-0.427406476927916,0.0461438500459988,0
base,KE120,Cmax,0.968333247647516,M0,Cmax,2000,0.964992335515996,-0.0356351201451635,0.0460339234701162,-0.345016773888207,-0.545870576732199,-0.143757334291361,0
base,KE120,Cmax,0.968333247647516,M1,Cmax,2000,0.964995790154899,-0.0356315401864505,0.0459336257403795,-0.344660012524112,-0.545077357216217,-0.143838795293716,0
