pk_model,scenario,auc_ratio,cmax_ratio,config,analysis_model,n_trials,n_pass,pass_pct,lo,hi,diff_vs_M0_pp,diff_lo,diff_hi
k2020,F097,0.952367656502161,0.965498850360188,G2_Ai,M1,10000,9615,96.15,95.7548376065759,96.5097193438106,0.36,0.210892994317423,0.509107005682577
k2020,F097,0.952367656502161,0.965498850360188,G2_Ai,M2,10000,9661,96.61,96.2370203745,96.9471832973855,0.82,0.583710807802673,1.05628919219733
k2020,F097,0.952367656502161,0.965498850360188,G2_Aii,M0,10000,9526,95.26,94.8258591964774,95.6593812710089,,,
k2020,F097,0.952367656502161,0.965498850360188,G2_Aii,M1,10000,9573,95.73,95.315861562209,96.1090179468089,0.47,0.298252147534596,0.641747852465404
k2020,F097,0.952367656502161,0.965498850360188,G2_Aii,M2,10000,9623,96.23,95.8385837384669,96.5859117721804,0.97,0.733116878682585,1.20688312131741
k2020,F097,0.952367656502161,0.965498850360188,G2_B,M0,10000,9672,96.72,96.3525712335087,97.0515479587353,,,
k2020,F097,0.952367656502161,0.965498850360188,G2_B,M1,10000,9702,97.02,96.6682567280577,97.3356320651639,0.3,0.192804139874998,0.407195860125002
k2020,F097,0.952367656502161,0.965498850360188,G2_B,M2,10000,9735,97.35,97.0165502723387,97.6470850819583,0.63,0.437351630166306,0.822648369833694
k2020,F097,0.952367656502161,0.965498850360188,G2_Ci,M0,10000,9556,95.56,95.1384860246205,95.9465240438435,,,
k2020,F097,0.952367656502161,0.965498850360188,G2_Ci,M1,10000,9590,95.9,95.4934079228751,96.2713410266968,0.34,0.225904187141491,0.454095812858509
k2020,F097,0.952367656502161,0.965498850360188,G2_Ci,M2,10000,9631,96.31,95.922375079488,96.6620589914199,0.75,0.533116240136789,0.966883759863211
k2020,F097,0.952367656502161,0.965498850360188,G2_Cii,M0,10000,9503,95.03,94.586491379854,95.4389257268829,,,
k2020,F097,0.952367656502161,0.965498850360188,G2_Cii,M1,10000,9561,95.61,95.1906381321585,95.9943335364684,0.58,0.431159649858377,0.728840350141623
