pk_model,scenario,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,analysis_model,config,n_trials,n_pass,pass_pct,lo,hi,n_trials_10k,n_pass_10k,pass_pct_10k,lo_10k,hi_10k,class,class_10k
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M2,G2_B,10000,379,3.79,3.43313215024983,4.1823569791681,10000,379,3.79,3.43313215024983,4.1823569791681,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M2,G2_Ci,10000,346,3.46,3.11928273979537,3.83645982854721,10000,346,3.46,3.11928273979537,3.83645982854721,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M2,G2_Cii,10000,374,3.74,3.38552764822138,4.12999988103362,10000,374,3.74,3.38552764822138,4.12999988103362,conservative,conservative
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M2,P2,10000,438,4.38,3.9961062612773,4.79892975006323,10000,438,4.38,3.9961062612773,4.79892975006323,conservative,conservative
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,AUCinf_true_only,10000,412,4.12,3.7477466161893,4.52748907430398,10000,412,4.12,3.7477466161893,4.52748907430398,conservative,conservative
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,AUClast_only,10000,267,2.67,2.37175657034417,3.00459271542408,10000,267,2.67,2.37175657034417,3.00459271542408,conservative,conservative
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,F3A,10000,265,2.65,2.35291491804175,2.98344972766133,10000,265,2.65,2.35291491804175,2.98344972766133,conservative,conservative
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,F3B,10000,264,2.64,2.34349585263643,2.97287647303405,10000,264,2.64,2.34349585263643,2.97287647303405,conservative,conservative
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,F3C,10000,264,2.64,2.34349585263643,2.97287647303405,10000,264,2.64,2.34349585263643,2.97287647303405,conservative,conservative
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,G2_Ai,10000,1269,12.69,12.0518995160374,13.3567544423825,10000,1269,12.69,12.0518995160374,13.3567544423825,exceeding,exceeding
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,G2_Aii,10000,2458,24.58,23.7459837064685,25.4335387706967,10000,2458,24.58,23.7459837064685,25.4335387706967,exceeding,exceeding
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,G2_B,10000,637,6.37,5.90789458974844,6.8656131080768,10000,637,6.37,5.90789458974844,6.8656131080768,exceeding,exceeding
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,G2_Ci,10000,346,3.46,3.11928273979537,3.83645982854721,10000,346,3.46,3.11928273979537,3.83645982854721,conservative,conservative
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,G2_Cii,10000,337,3.37,3.03383376227813,3.74197792577116,10000,337,3.37,3.03383376227813,3.74197792577116,conservative,conservative
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,P2,10000,267,2.67,2.37175657034417,3.00459271542408,10000,267,2.67,2.37175657034417,3.00459271542408,conservative,conservative
