pk_model,scenario,config,comparison,diff_pp,lo,hi,n_trials,n_gain,n_loss
k2020,ke_up_080,AUClast_only,M1 minus M0,0.33,0.217588949626125,0.442411050373875,10000,33,0
k2020,ke_up_080,F3A,M1 minus M0,0.3,0.185861095020424,0.414138904979576,10000,32,2
k2020,ke_up_080,F3B,M1 minus M0,0.32,0.20929969673207,0.43070030326793,10000,32,0
k2020,ke_up_080,F3C,M1 minus M0,0.3,0.192804139874998,0.407195860125002,10000,30,0
k2020,ke_up_080,G2_Ai,M1 minus M0,0.38,0.230912062137889,0.529087937862111,10000,48,10
k2020,ke_up_080,G2_Aii,M1 minus M0,0.35,0.173727864471876,0.526272135528124,10000,58,23
k2020,ke_up_080,G2_B,M1 minus M0,0.39,0.264727808798712,0.515272191201288,10000,40,1
k2020,ke_up_080,G2_Ci,M1 minus M0,0.37,0.250994856045036,0.489005143954964,10000,37,0
k2020,ke_up_080,G2_Cii,M1 minus M0,0.43,0.301746776865786,0.558253223134214,10000,43,0
k2020,ke_up_080,P2,M1 minus M0,0.33,0.217588949626125,0.442411050373875,10000,33,0
k2016,F_down_080,AUCinf_true_only,M2 minus M0,0.51,0.275823936673999,0.744176063326001,10000,97,46
k2016,F_down_080,AUClast_only,M2 minus M0,0.3,0.0908052733219746,0.509194726678025,10000,72,42
k2016,F_down_080,F3A,M2 minus M0,0.43,0.219975813582636,0.640024186417364,10000,79,36
k2016,F_down_080,F3B,M2 minus M0,0.38,0.170855231851364,0.589144768148636,10000,76,38
k2016,F_down_080,F3C,M2 minus M0,0.32,0.118296764080068,0.521703235919932,10000,69,37
k2016,F_down_080,G2_Ai,M2 minus M0,0.46,0.172072030691879,0.747927969308121,10000,131,85
k2016,F_down_080,G2_Aii,M2 minus M0,0.7,0.400482260943313,0.999517739056687,10000,152,82
k2016,F_down_080,G2_B,M2 minus M0,0.65,0.386608579252395,0.913391420747604,10000,123,58
k2016,F_down_080,G2_Ci,M2 minus M0,0.59,0.367680319788313,0.812319680211687,10000,94,35
k2016,F_down_080,G2_Cii,M2 minus M0,0.41,0.194542999697107,0.625457000302894,10000,81,40
k2016,F_down_080,P2,M2 minus M0,0.3,0.0908052733219746,0.509194726678025,10000,72,42
k2016,F_up_125,AUCinf_true_only,M2 minus M0,0.44,0.208242747709272,0.671757252290728,10000,92,48
k2016,F_up_125,AUClast_only,M2 minus M0,0.35,0.143608636860383,0.556391363139617,10000,73,38
k2016,F_up_125,F3A,M2 minus M0,0.34,0.144107125334257,0.535892874665743,10000,67,33
k2016,F_up_125,F3B,M2 minus M0,0.3,0.102130795564595,0.497869204435405,10000,66,36
k2016,F_up_125,F3C,M2 minus M0,0.35,0.14736570483595,0.55263429516405,10000,71,36
k2016,F_up_125,G2_Ai,M2 minus M0,0.4,0.141568967036026,0.658431032963974,10000,107,67
k2016,F_up_125,G2_Aii,M2 minus M0,0.4,0.0939289300933704,0.70607106990663,10000,142,102
k2016,F_up_125,G2_B,M2 minus M0,0.45,0.207714216975972,0.692285783024028,10000,99,54
k2016,F_up_125,G2_Ci,M2 minus M0,0.38,0.158369419413884,0.601630580586116,10000,83,45
k2016,F_up_125,G2_Cii,M2 minus M0,0.44,0.227257504531042,0.652742495468959,10000,81,37
k2016,F_up_125,P2,M2 minus M0,0.34,0.136413426894591,0.543586573105409,10000,71,37
k2016,V2_up_080,AUCinf_true_only,M2 minus M0,0.65,0.417604499820967,0.882395500179034,10000,103,38
k2016,V2_up_080,AUClast_only,M2 minus M0,0.41,0.198139239646595,0.621860760353406,10000,79,38
k2016,V2_up_080,F3A,M2 minus M0,0.41,0.221149374992996,0.598850625007004,10000,67,26
k2016,V2_up_080,F3B,M2 minus M0,0.37,0.165492068800002,0.574507931199998,10000,73,36
k2016,V2_up_080,F3C,M2 minus M0,0.37,0.161768803668372,0.578231196331628,10000,75,38
k2016,V2_up_080,G2_Ai,M2 minus M0,0.13,-0.101073851949429,0.361073851949429,10000,76,63
k2016,V2_up_080,G2_Aii,M2 minus M0,0.33,0.0876400191737643,0.572359980826236,10000,93,60
k2016,V2_up_080,G2_B,M2 minus M0,0.32,0.107175173002383,0.532824826997617,10000,75,43
k2016,V2_up_080,G2_Ci,M2 minus M0,0.36,0.158322669673564,0.561677330326436,10000,71,35
k2016,V2_up_080,G2_Cii,M2 minus M0,0.35,0.141755520170094,0.558244479829906,10000,74,39
k2016,V2_up_080,P2,M2 minus M0,0.41,0.198139239646595,0.621860760353406,10000,79,38
k2016,Vmax_down_125,AUCinf_true_only,M2 minus M0,0.53,0.302498432538549,0.757501567461451,10000,94,41
k2016,Vmax_down_125,AUClast_only,M2 minus M0,0.16,-0.01746345404861,0.33746345404861,10000,49,33
k2016,Vmax_down_125,F3A,M2 minus M0,0.15,-0.026381076631523,0.326381076631523,10000,48,33
k2016,Vmax_down_125,F3B,M2 minus M0,0.16,-0.01528522162996,0.33528522162996,10000,48,32
k2016,Vmax_down_125,F3C,M2 minus M0,0.19,0.0136337354049579,0.366366264595042,10000,50,31
k2016,Vmax_down_125,G2_Ai,M2 minus M0,0.25,-0.104406905610688,0.604406905610688,10000,176,151
k2016,Vmax_down_125,G2_Aii,M2 minus M0,0.1,-0.331209183110396,0.531209183110396,10000,247,237
k2016,Vmax_down_125,G2_B,M2 minus M0,0.31,0.0434719986922152,0.576528001307785,10000,108,77
k2016,Vmax_down_125,G2_Ci,M2 minus M0,0.59,0.385690543049428,0.794309456950572,10000,84,25
k2016,Vmax_down_125,G2_Cii,M2 minus M0,0.45,0.2436831077333,0.6563168922667,10000,78,33
k2016,Vmax_down_125,P2,M2 minus M0,0.16,-0.01746345404861,0.33746345404861,10000,49,33
k2016,Vmax_up_080,AUCinf_true_only,M2 minus M0,0.43,0.189291060202874,0.670708939797126,10000,97,54
k2016,Vmax_up_080,AUClast_only,M2 minus M0,0.36,0.162169243125341,0.557830756874659,10000,69,33
k2016,Vmax_up_080,F3A,M2 minus M0,0.36,0.166092106494855,0.553907893505145,10000,67,31
k2016,Vmax_up_080,F3B,M2 minus M0,0.35,0.151193761731093,0.548806238268907,10000,69,34
k2016,Vmax_up_080,F3C,M2 minus M0,0.41,0.223194780681756,0.596805219318244,10000,66,25
k2016,Vmax_up_080,G2_Ai,M2 minus M0,0.58,0.174658611766474,0.985341388233526,10000,243,185
k2016,Vmax_up_080,G2_Aii,M2 minus M0,0.12,-0.332933642173758,0.572933642173758,10000,273,261
k2016,Vmax_up_080,G2_B,M2 minus M0,1.25,0.874282394723416,1.62571760527658,10000,247,122
k2016,Vmax_up_080,G2_Ci,M2 minus M0,0.45,0.232797625149763,0.667202374850237,10000,84,39
k2016,Vmax_up_080,G2_Cii,M2 minus M0,0.52,0.330238463296446,0.709761536703554,10000,73,21
k2016,Vmax_up_080,P2,M2 minus M0,0.36,0.162169243125341,0.557830756874659,10000,69,33
k2016,ka_down_080,AUCinf_true_only,M2 minus M0,0.42,0.188228491916464,0.651771508083536,10000,91,49
k2016,ka_down_080,AUClast_only,M2 minus M0,0.55,0.310986935454317,0.789013064545683,10000,102,47
k2016,ka_down_080,F3A,M2 minus M0,0,0,0,10000,0,0
k2016,ka_down_080,F3B,M2 minus M0,0,0,0,10000,0,0
k2016,ka_down_080,F3C,M2 minus M0,0,0,0,10000,0,0
k2016,ka_down_080,G2_Ai,M2 minus M0,0,0,0,10000,0,0
k2016,ka_down_080,G2_Aii,M2 minus M0,0,0,0,10000,0,0
k2016,ka_down_080,G2_B,M2 minus M0,0,0,0,10000,0,0
k2016,ka_down_080,G2_Ci,M2 minus M0,0,0,0,10000,0,0
k2016,ka_down_080,G2_Cii,M2 minus M0,0,0,0,10000,0,0
k2016,ka_down_080,P2,M2 minus M0,0,0,0,10000,0,0
k2016,ke_down_125,AUCinf_true_only,M2 minus M0,0.2,-0.0368027459741578,0.436802745974158,10000,83,63
k2016,ke_down_125,AUClast_only,M2 minus M0,0.48,0.26193960194685,0.69806039805315,10000,86,38
k2016,ke_down_125,F3A,M2 minus M0,0.39,0.205246195404949,0.574753804595051,10000,64,25
k2016,ke_down_125,F3B,M2 minus M0,0.44,0.23274589611937,0.64725410388063,10000,78,34
k2016,ke_down_125,F3C,M2 minus M0,0.48,0.258443970063787,0.701556029936213,10000,88,40
k2016,ke_down_125,G2_Ai,M2 minus M0,0.33,0.0924431552173321,0.567556844782668,10000,90,57
k2016,ke_down_125,G2_Aii,M2 minus M0,0.38,0.0815451767806673,0.678454823219333,10000,135,97
k2016,ke_down_125,G2_B,M2 minus M0,0.53,0.300815943402653,0.759184056597347,10000,95,42
k2016,ke_down_125,G2_Ci,M2 minus M0,0.42,0.207241974655882,0.632758025344118,10000,80,38
k2016,ke_down_125,G2_Cii,M2 minus M0,0.56,0.330006623416479,0.789993376583521,10000,97,41
k2016,ke_down_125,P2,M2 minus M0,0.48,0.26193960194685,0.69806039805315,10000,86,38
k2016,ke_up_080,AUCinf_true_only,M2 minus M0,0.59,0.349421333405443,0.830578666594557,10000,105,46
k2016,ke_up_080,AUClast_only,M2 minus M0,0.35,0.143608636860383,0.556391363139617,10000,73,38
k2016,ke_up_080,F3A,M2 minus M0,0.28,0.0840706504864902,0.47592934951351,10000,64,36
k2016,ke_up_080,F3B,M2 minus M0,0.28,0.0763783302180665,0.483621669781933,10000,68,40
k2016,ke_up_080,F3C,M2 minus M0,0.44,0.244183626911922,0.635816373088079,10000,72,28
k2016,ke_up_080,G2_Ai,M2 minus M0,0.43,0.182989336055602,0.677010663944398,10000,101,58
k2016,ke_up_080,G2_Aii,M2 minus M0,0.07,-0.205104388724211,0.345104388724211,10000,102,95
k2016,ke_up_080,G2_B,M2 minus M0,0.47,0.226148200200539,0.713851799799461,10000,101,54
k2016,ke_up_080,G2_Ci,M2 minus M0,0.34,0.134535011863814,0.545464988136186,10000,72,38
k2016,ke_up_080,G2_Cii,M2 minus M0,0.37,0.165492068800002,0.574507931199998,10000,73,36
k2016,ke_up_080,P2,M2 minus M0,0.35,0.143608636860383,0.556391363139617,10000,73,38
k2020,F_down_080,AUCinf_true_only,M2 minus M0,0.18,-0.0502281170873567,0.410228117087357,10000,78,60
k2020,F_down_080,AUClast_only,M2 minus M0,0.42,0.212729955021639,0.627270044978361,10000,77,35
k2020,F_down_080,F3A,M2 minus M0,0.38,0.180250929817053,0.579749070182947,10000,71,33
k2020,F_down_080,F3B,M2 minus M0,0.42,0.220281705541691,0.619718294458309,10000,73,31
k2020,F_down_080,F3C,M2 minus M0,0.48,0.278418701784843,0.681581298215157,10000,77,29
k2020,F_down_080,G2_Ai,M2 minus M0,0.63,0.333645951494655,0.926354048505345,10000,146,83
k2020,F_down_080,G2_Aii,M2 minus M0,0.42,0.120281204783107,0.719718795216893,10000,138,96
