pk_model,scenario,endpoint,analysis_model,n_trials,mean_log_gmr,sd_log_gmr,se_median,df_median,true_ratio,bias_log,bias_mc_se,sd_se_ratio,bias_lo,bias_hi,bias_pct,sd_se_lo,sd_se_hi,pred_pct,theory_boundary_pct,bias_dir
k2016,F_down_080,Cmax,M2,10000,-0.16178590372716,0.0425232427105206,0.0426002935,231,0.852080931927538,-0.00171213758830371,0.000425232427105205,0.998191308482899,-0.00254557783048847,-0.000878697346118957,-0.171067271688286,0.984355552568426,1.01202443006186,41.6229485827767,43.2196334418622,away_from_1
k2016,F_up_125,AUCinf_A,M0,10000,0.205941979558299,0.0496579207229408,0.0509620955,190,1.25010656509896,-0.0172868202013264,0.000496579207229408,0.97440892560905,-0.0182600975629675,-0.0163135428396853,-1.71382603989516,0.960902813162428,0.987912466484455,8.85204498365704,4.98297704310202,toward_1
k2016,F_up_125,AUCinf_A,M1,10000,0.2066191125405,0.0493793831955471,0.049567369,189,1.25010656509896,-0.0166096872191256,0.000493793831955471,0.996207468577708,-0.0175775053455464,-0.0156418690927049,-1.64725069217436,0.982399210322719,1.01001309773275,9.26509185254573,4.98249984068568,toward_1
k2016,F_up_125,AUCinf_A,M2,10000,0.2068766983793,0.0487531051536602,0.0489198375,189,1.25010656509896,-0.0163521013803262,0.000487531051536602,0.99659172321781,-0.0173076446826828,-0.0153965580779695,-1.6219131535902,0.982778138876165,1.01040267744542,9.25936990197028,4.98226852918743,toward_1
k2016,F_up_125,AUCinf_Ai,M0,10000,0.211364619887801,0.0487437426625698,0.0500067455,203,1.25010656509896,-0.0118641798718249,0.000487437426625698,0.974743350625963,-0.0128195396727281,-0.0109088200709216,-1.17940779974373,0.961232602772414,0.98825152602571,7.30342145242808,4.98263891821287,toward_1
k2016,F_up_125,AUCinf_Ai,M1,10000,0.2118244356336,0.0485741328952464,0.0486079985,202,1.25010656509896,-0.0114043641260261,0.000485741328952464,0.999303291519943,-0.0123563996365756,-0.0104523286154767,-1.1339580869949,0.98545212260222,1.01315182316751,7.77228825290547,4.98214104792039,toward_1
k2016,F_up_125,AUCinf_Ai,M2,10000,0.211967823462099,0.0479314364839568,0.047947476,202,1.25010656509896,-0.0112609762975267,0.000479314364839568,0.999665477364372,-0.0122004151898849,-0.0103215374051684,-1.11978088353775,0.985809288251726,1.01351902825101,7.78294320643128,4.98189538218052,toward_1
k2016,F_up_125,AUCinf_B,M0,10000,0.217139372771,0.0462977619406019,0.0479819475,230,1.25010656509896,-0.00608942698862625,0.000462977619406019,0.964899599804737,-0.00699684644831013,-0.00518200752894236,-0.607092400467557,0.951525294467255,0.978271358667148,5.6836573640055,4.98188344527872,toward_1
k2016,F_up_125,AUCinf_B,M1,10000,0.2173103630534,0.046284420590648,0.04659868,229,1.25010656509896,-0.00591843670622544,0.00046284420590648,0.993256044820326,-0.00682559468025518,-0.0050112787321957,-0.590095726036799,0.979488695736115,1.00702077259372,6.21810546862031,4.98134727634645,toward_1
k2016,F_up_125,AUCinf_B,M2,10000,0.2173656551582,0.0456883486578567,0.045985961,229,1.25010656509896,-0.00586314460142548,0.000456883486578567,0.99352819130727,-0.00675861978025056,-0.0049676694226004,-0.584598991229912,0.979757070047992,1.00729669053751,6.22900870759587,4.98109912431889,toward_1
k2016,F_up_125,AUCinf_C,M0,10000,0.226079089021601,0.0478104825440205,0.049454298,232,1.25010656509896,0.00285028926197492,0.000478104825440205,0.966760918212215,0.00191322102327731,0.00378735750067253,0.285435519852739,0.953360813464393,0.980158471572743,3.83946114610547,4.9824205430839,away_from_1
k2016,F_up_125,AUCinf_C,M1,10000,0.226085004038901,0.0477975807707716,0.048051967,231,1.25010656509896,0.00285620427927474,0.000477975807707716,0.994706018398199,0.00191938891068618,0.00379301964786331,0.28602871169312,0.980918571482705,1.00849084017624,4.25523403753071,4.98190902794411,away_from_1
k2016,F_up_125,AUCinf_C,M2,10000,0.2260605041101,0.0472086489451012,0.047403594,231,1.25010656509896,0.00283170435047467,0.000472086489451012,0.99588754694636,0.00190643183356274,0.0037569768673866,0.283571741227973,0.982083723069398,1.00968874256769,4.27085035631382,4.98166194954789,away_from_1
k2016,F_up_125,AUCinf_Ci,M0,10000,0.224794835907901,0.0475689387770635,0.049198061,232,1.25010656509896,0.00156603614827494,0.000475689387770635,0.966886454672747,0.000633702080416588,0.00249837021613329,0.156726302324373,0.953484609885905,0.980285747740991,4.06912936799273,4.982329114549,away_from_1
k2016,F_up_125,AUCinf_Ci,M1,10000,0.224800295227201,0.047555216362661,0.0478162095,231,1.25010656509896,0.00157149546757515,0.00047555216362661,0.994541743478453,0.000639430354096898,0.0025035605810534,0.157273091365862,0.980756573549017,1.00832428870397,4.50018017742918,4.98181996090468,away_from_1
k2016,F_up_125,AUCinf_Ci,M2,10000,0.224777000924901,0.0469662193912225,0.047169824,231,1.25010656509896,0.00154820116527502,0.000469662193912225,0.99568358345417,0.000627680180306987,0.00246872215024304,0.154940024742611,0.981882586679657,1.00948195251133,4.51882191247206,4.98157120224361,away_from_1
k2016,F_up_125,AUCinf_true,M0,10000,0.2233127728817,0.0452596882393846,0.047064308,232,1.25010656509896,8.39731220740325e-05,0.000452596882393846,0.961656298853573,-0.000803100466933016,0.000971046711081081,0.00839766479152626,0.948326948345828,0.974983111445671,4.2622288041359,4.98152915992522,none
k2016,F_up_125,AUCinf_true,M1,10000,0.2233185233388,0.0452442327302082,0.0455765815,231,1.25010656509896,8.97235791741391e-05,0.000452442327302082,0.992707904830646,-0.000797047087419424,0.000976494245767702,0.00897276044549145,0.978948153419386,1.00646503637769,4.77099768325329,4.98092796574049,none
k2016,F_up_125,AUCinf_true,M2,10000,0.2232944739632,0.0445863680205875,0.044923521,231,1.25010656509896,6.56742035737845e-05,0.000445863680205875,0.99249495649701,-0.000808202551644215,0.000939550958791784,0.00656763601714072,0.978738156725523,1.00624913696628,4.7722434381813,4.9806511438149,none
