input_model,cmax_cv_rule,cmax_gmr_rule,cv,gmr,analysis_model,target_pct,n_evaluable_per_arm,n_randomized_per_arm
k2020,fixed,equal,35,0.9,M0,85,134,149
k2020,fixed,equal,35,0.9,M0,90,156,174
k2020,fixed,equal,35,0.9,M1,85,129,144
k2020,fixed,equal,35,0.9,M1,90,151,168
k2020,fixed,equal,35,0.95,M0,85,64,72
k2020,fixed,equal,35,0.95,M0,90,74,83
k2020,fixed,equal,35,0.95,M1,85,62,69
k2020,fixed,equal,35,0.95,M1,90,72,80
k2020,fixed,equal,35,1,M0,85,48,54
k2020,fixed,equal,35,1,M0,90,54,60
k2020,fixed,equal,35,1,M1,85,47,53
k2020,fixed,equal,35,1,M1,90,53,59
k2020,fixed,equal,40,0.9,M0,85,158,176
k2020,fixed,equal,40,0.9,M0,90,186,207
k2020,fixed,equal,40,0.9,M1,85,153,170
k2020,fixed,equal,40,0.9,M1,90,180,200
k2020,fixed,equal,40,0.95,M0,85,76,85
k2020,fixed,equal,40,0.95,M0,90,88,98
k2020,fixed,equal,40,0.95,M1,85,73,82
k2020,fixed,equal,40,0.95,M1,90,86,96
k2020,fixed,equal,40,1,M0,85,58,65
k2020,fixed,equal,40,1,M0,90,65,73
k2020,fixed,equal,40,1,M1,85,56,63
k2020,fixed,equal,40,1,M1,90,63,70
k2020,fixed,equal,43,0.9,M0,85,177,197
k2020,fixed,equal,43,0.9,M0,90,209,233
k2020,fixed,equal,43,0.9,M1,85,172,192
k2020,fixed,equal,43,0.9,M1,90,203,226
k2020,fixed,equal,43,0.95,M0,85,85,95
k2020,fixed,equal,43,0.95,M0,90,99,110
k2020,fixed,equal,43,0.95,M1,85,82,92
k2020,fixed,equal,43,0.95,M1,90,96,107
k2020,fixed,equal,43,1,M0,85,65,73
k2020,fixed,equal,43,1,M0,90,73,82
k2020,fixed,equal,43,1,M1,85,63,70
k2020,fixed,equal,43,1,M1,90,72,80
k2020,fixed,equal,46,0.9,M0,85,198,220
k2020,fixed,equal,46,0.9,M0,90,235,262
k2020,fixed,equal,46,0.9,M1,85,193,215
k2020,fixed,equal,46,0.9,M1,90,229,255
k2020,fixed,equal,46,0.95,M0,85,95,106
k2020,fixed,equal,46,0.95,M0,90,111,124
k2020,fixed,equal,46,0.95,M1,85,92,103
k2020,fixed,equal,46,0.95,M1,90,108,120
k2020,fixed,equal,46,1,M0,85,73,82
k2020,fixed,equal,46,1,M0,90,83,93
k2020,fixed,equal,46,1,M1,85,71,79
k2020,fixed,equal,46,1,M1,90,81,90
k2020,fixed,equal,50,0.9,M0,85,229,255
k2020,fixed,equal,50,0.9,M0,90,272,303
k2020,fixed,equal,50,0.9,M1,85,224,249
k2020,fixed,equal,50,0.9,M1,90,266,296
k2020,fixed,equal,50,0.95,M0,85,110,123
k2020,fixed,equal,50,0.95,M0,90,129,144
k2020,fixed,equal,50,0.95,M1,85,107,119
k2020,fixed,equal,50,0.95,M1,90,126,140
k2020,fixed,equal,50,1,M0,85,85,95
k2020,fixed,equal,50,1,M0,90,96,107
k2020,fixed,equal,50,1,M1,85,83,93
k2020,fixed,equal,50,1,M1,90,94,105
k2020,fixed,equal,52,0.9,M0,85,246,274
k2020,fixed,equal,52,0.9,M0,90,292,325
k2020,fixed,equal,52,0.9,M1,85,241,268
k2020,fixed,equal,52,0.9,M1,90,286,318
k2020,fixed,equal,52,0.95,M0,85,117,130
k2020,fixed,equal,52,0.95,M0,90,138,154
k2020,fixed,equal,52,0.95,M1,85,115,128
k2020,fixed,equal,52,0.95,M1,90,136,152
k2020,fixed,equal,52,1,M0,85,91,102
k2020,fixed,equal,52,1,M0,90,103,115
k2020,fixed,equal,52,1,M1,85,89,99
k2020,fixed,equal,52,1,M1,90,101,113
k2020,fixed,mechanistic,35,0.9,M0,85,119,133
k2020,fixed,mechanistic,35,0.9,M0,90,140,156
k2020,fixed,mechanistic,35,0.9,M1,85,114,127
k2020,fixed,mechanistic,35,0.9,M1,90,135,150
k2020,fixed,mechanistic,35,0.95,M0,85,60,67
k2020,fixed,mechanistic,35,0.95,M0,90,70,78
k2020,fixed,mechanistic,35,0.95,M1,85,58,65
k2020,fixed,mechanistic,35,0.95,M1,90,68,76
k2020,fixed,mechanistic,35,1,M0,85,48,54
k2020,fixed,mechanistic,35,1,M0,90,54,60
k2020,fixed,mechanistic,35,1,M1,85,47,53
k2020,fixed,mechanistic,35,1,M1,90,53,59
k2020,fixed,mechanistic,40,0.9,M0,85,152,169
k2020,fixed,mechanistic,40,0.9,M0,90,180,200
k2020,fixed,mechanistic,40,0.9,M1,85,146,163
k2020,fixed,mechanistic,40,0.9,M1,90,174,194
k2020,fixed,mechanistic,40,0.95,M0,85,74,83
k2020,fixed,mechanistic,40,0.95,M0,90,86,96
k2020,fixed,mechanistic,40,0.95,M1,85,71,79
k2020,fixed,mechanistic,40,0.95,M1,90,84,94
k2020,fixed,mechanistic,40,1,M0,85,58,65
k2020,fixed,mechanistic,40,1,M0,90,65,73
k2020,fixed,mechanistic,40,1,M1,85,56,63
k2020,fixed,mechanistic,40,1,M1,90,63,70
k2020,fixed,mechanistic,43,0.9,M0,85,174,194
k2020,fixed,mechanistic,43,0.9,M0,90,206,229
k2020,fixed,mechanistic,43,0.9,M1,85,168,187
k2020,fixed,mechanistic,43,0.9,M1,90,200,223
k2020,fixed,mechanistic,43,0.95,M0,85,83,93
k2020,fixed,mechanistic,43,0.95,M0,90,98,109
k2020,fixed,mechanistic,43,0.95,M1,85,81,90
k2020,fixed,mechanistic,43,0.95,M1,90,95,106
k2020,fixed,mechanistic,43,1,M0,85,65,73
k2020,fixed,mechanistic,43,1,M0,90,73,82
k2020,fixed,mechanistic,43,1,M1,85,63,70
k2020,fixed,mechanistic,43,1,M1,90,72,80
k2020,fixed,mechanistic,46,0.9,M0,85,197,219
k2020,fixed,mechanistic,46,0.9,M0,90,233,259
k2020,fixed,mechanistic,46,0.9,M1,85,191,213
k2020,fixed,mechanistic,46,0.9,M1,90,228,254
k2020,fixed,mechanistic,46,0.95,M0,85,94,105
k2020,fixed,mechanistic,46,0.95,M0,90,111,124
k2020,fixed,mechanistic,46,0.95,M1,85,92,103
k2020,fixed,mechanistic,46,0.95,M1,90,108,120
k2020,fixed,mechanistic,46,1,M0,85,73,82
k2020,fixed,mechanistic,46,1,M0,90,83,93
k2020,fixed,mechanistic,46,1,M1,85,71,79
k2020,fixed,mechanistic,46,1,M1,90,81,90
k2020,fixed,mechanistic,50,0.9,M0,85,229,255
k2020,fixed,mechanistic,50,0.9,M0,90,272,303
k2020,fixed,mechanistic,50,0.9,M1,85,224,249
k2020,fixed,mechanistic,50,0.9,M1,90,266,296
k2020,fixed,mechanistic,50,0.95,M0,85,109,122
k2020,fixed,mechanistic,50,0.95,M0,90,129,144
k2020,fixed,mechanistic,50,0.95,M1,85,107,119
k2020,fixed,mechanistic,50,0.95,M1,90,126,140
k2020,fixed,mechanistic,50,1,M0,85,85,95
k2020,fixed,mechanistic,50,1,M0,90,96,107
k2020,fixed,mechanistic,50,1,M1,85,83,93
k2020,fixed,mechanistic,50,1,M1,90,94,105
k2020,fixed,mechanistic,52,0.9,M0,85,246,274
k2020,fixed,mechanistic,52,0.9,M0,90,292,325
k2020,fixed,mechanistic,52,0.9,M1,85,240,267
k2020,fixed,mechanistic,52,0.9,M1,90,286,318
k2020,fixed,mechanistic,52,0.95,M0,85,117,130
k2020,fixed,mechanistic,52,0.95,M0,90,138,154
k2020,fixed,mechanistic,52,0.95,M1,85,115,128
k2020,fixed,mechanistic,52,0.95,M1,90,136,152
k2020,fixed,mechanistic,52,1,M0,85,91,102
k2020,fixed,mechanistic,52,1,M0,90,103,115
k2020,fixed,mechanistic,52,1,M1,85,89,99
k2020,fixed,mechanistic,52,1,M1,90,101,113
k2020,ratio,equal,35,0.9,M0,85,120,134
k2020,ratio,equal,35,0.9,M0,90,141,157
k2020,ratio,equal,35,0.9,M1,85,115,128
k2020,ratio,equal,35,0.9,M1,90,136,152
k2020,ratio,equal,35,0.95,M0,85,57,64
k2020,ratio,equal,35,0.95,M0,90,67,75
k2020,ratio,equal,35,0.95,M1,85,55,62
k2020,ratio,equal,35,0.95,M1,90,64,72
k2020,ratio,equal,35,1,M0,85,44,49
k2020,ratio,equal,35,1,M0,90,50,56
k2020,ratio,equal,35,1,M1,85,42,47
k2020,ratio,equal,35,1,M1,90,48,54
k2020,ratio,equal,40,0.9,M0,85,155,173
k2020,ratio,equal,40,0.9,M0,90,182,203
k2020,ratio,equal,40,0.9,M1,85,150,167
k2020,ratio,equal,40,0.9,M1,90,177,197
k2020,ratio,equal,40,0.95,M0,85,74,83
k2020,ratio,equal,40,0.95,M0,90,86,96
k2020,ratio,equal,40,0.95,M1,85,72,80
k2020,ratio,equal,40,0.95,M1,90,84,94
k2020,ratio,equal,40,1,M0,85,57,64
k2020,ratio,equal,40,1,M0,90,64,72
k2020,ratio,equal,40,1,M1,85,55,62
k2020,ratio,equal,40,1,M1,90,62,69
k2020,ratio,equal,43,0.9,M0,85,177,197
k2020,ratio,equal,43,0.9,M0,90,209,233
k2020,ratio,equal,43,0.9,M1,85,172,192
k2020,ratio,equal,43,0.9,M1,90,203,226
k2020,ratio,equal,43,0.95,M0,85,85,95
k2020,ratio,equal,43,0.95,M0,90,99,110
k2020,ratio,equal,43,0.95,M1,85,82,92
k2020,ratio,equal,43,0.95,M1,90,96,107
k2020,ratio,equal,43,1,M0,85,65,73
k2020,ratio,equal,43,1,M0,90,73,82
k2020,ratio,equal,43,1,M1,85,63,70
k2020,ratio,equal,43,1,M1,90,72,80
k2020,ratio,equal,46,0.9,M0,85,201,224
k2020,ratio,equal,46,0.9,M0,90,237,264
k2020,ratio,equal,46,0.9,M1,85,196,218
k2020,ratio,equal,46,0.9,M1,90,231,257
k2020,ratio,equal,46,0.95,M0,85,96,107
k2020,ratio,equal,46,0.95,M0,90,112,125
k2020,ratio,equal,46,0.95,M1,85,93,104
k2020,ratio,equal,46,0.95,M1,90,110,123
k2020,ratio,equal,46,1,M0,85,74,83
k2020,ratio,equal,46,1,M0,90,83,93
k2020,ratio,equal,46,1,M1,85,72,80
k2020,ratio,equal,46,1,M1,90,81,90
k2020,ratio,equal,50,0.9,M0,85,234,260
k2020,ratio,equal,50,0.9,M0,90,276,307
k2020,ratio,equal,50,0.9,M1,85,229,255
k2020,ratio,equal,50,0.9,M1,90,270,300
k2020,ratio,equal,50,0.95,M0,85,112,125
