input_model,cv,gmr,n,analysis_model,analytic_pct,mc_trials,mc_pct,mc_lo,mc_hi,diff_pp,analytic_in_ci
k2016,40,0.95,130,M1,97.8102232826672,5000,97.8,97.3552286601531,98.1713790338994,-0.010223282667198,TRUE
k2016,40,0.95,140,M0,98.2632347800233,5000,98.1,97.683000478663,98.4431465942225,-0.163234780023274,TRUE
k2016,40,0.95,140,M1,98.4695135260089,5000,98.36,97.9690142829181,98.676733584956,-0.109513526008854,TRUE
k2016,43,0.95,100,M0,90.2319875990238,5000,90.04,89.1789487735522,90.8395736546876,-0.191987599023832,TRUE
k2016,43,0.95,100,M1,90.9911548673442,5000,90.82,89.9880149530205,91.589309860185,-0.171154867344242,TRUE
k2016,43,0.95,117,M0,94.0181763126864,5000,94.3,93.6227147371942,94.9092668704737,0.281823687313576,TRUE
k2016,43,0.95,117,M1,94.5355561545655,5000,94.74,94.0861770524541,95.3251289775022,0.204443845434511,TRUE
k2016,43,0.95,130,M0,95.9130165716708,5000,95.82,95.2291952656858,96.3404525280692,-0.093016571670745,TRUE
k2016,43,0.95,130,M1,96.2927496665897,5000,96.14,95.5696490775797,96.6395073869304,-0.152749666589699,TRUE
k2016,43,0.95,140,M0,96.9619950399798,5000,96.9,96.382428206815,97.3455613507386,-0.0619950399798341,TRUE
k2016,43,0.95,140,M1,97.2587312421215,5000,97.18,96.6836724686333,97.6038871758311,-0.0787312421214494,TRUE
k2016,46,0.95,100,M0,86.8370003334449,5000,86.94,85.9775741971828,87.8457079831164,0.102999666555093,TRUE
k2016,46,0.95,100,M1,87.6860548274447,5000,87.78,86.8430681986154,88.6589242424161,0.0939451725553084,TRUE
k2016,46,0.95,117,M0,91.3832295547769,5000,91.26,90.44516951132,92.0114797241739,-0.123229554776856,TRUE
k2016,46,0.95,117,M1,91.9976125743984,5000,91.72,90.9237394290046,92.4522035206999,-0.277612574398361,TRUE
k2016,46,0.95,130,M0,93.7871257832096,5000,93.26,92.531333097049,93.9222453306647,-0.527125783209641,TRUE
k2016,46,0.95,130,M1,94.2614813163651,5000,93.64,92.9294985071857,94.2834964670497,-0.621481316365063,TRUE
k2016,46,0.95,140,M0,95.1810166715941,5000,95.02,94.3817239032863,95.5891522135807,-0.161016671594055,TRUE
k2016,46,0.95,140,M1,95.567180328614,5000,95.36,94.7413123077758,95.9090417717686,-0.207180328613958,TRUE
k2016,50,0.95,100,M0,81.7527747722896,5000,82.2,81.1151470545456,83.2354129401928,0.447225227710376,TRUE
k2016,50,0.95,100,M1,82.6829098504557,5000,83.1,82.0359367415925,84.1132413896448,0.417090149544279,TRUE
k2016,50,0.95,117,M0,87.2488251642765,5000,87.92,86.9874489634856,88.7943285210013,0.671174835723534,TRUE
k2016,50,0.95,117,M1,87.961670690266,5000,88.74,87.8339135091347,89.5866049441623,0.778329309734019,TRUE
k2016,50,0.95,130,M0,90.306043945042,5000,90.72,89.8841949698732,91.4932833837214,0.413956054957978,TRUE
k2016,50,0.95,130,M1,90.884268552574,5000,91.48,90.6739669066383,92.2223445399998,0.59573144742599,TRUE
k2016,50,0.95,140,M0,92.1578065332495,5000,91.64,90.8404611743156,92.3756046077,-0.517806533249456,TRUE
k2016,50,0.95,140,M1,92.6479272298014,5000,92.14,91.361303279452,92.8539948006186,-0.507927229801425,TRUE
k2016,52,0.95,100,M0,79.0454426076357,5000,78.36,77.1970556836985,79.4794002619779,-0.685442607635679,TRUE
k2016,52,0.95,100,M1,80.0026606825803,5000,79.34,78.1954698113907,80.4394814384734,-0.662660682580267,TRUE
k2016,52,0.95,117,M0,84.9854411490994,5000,84.86,83.8397367166872,85.8267391037034,-0.125441149099402,TRUE
k2016,52,0.95,117,M1,85.7350215708594,5000,85.8,84.8049974348013,86.7400351059326,0.0649784291406519,TRUE
k2016,52,0.95,130,M0,88.349918864129,5000,88.28,87.3588949246197,89.1423298144667,-0.0699188641289652,TRUE
k2016,52,0.95,130,M1,88.9693813615792,5000,88.96,88.0612584761155,89.7989221883257,-0.00938136157922997,TRUE
k2016,52,0.95,140,M0,90.4201910914461,5000,89.88,89.0131855227964,90.6855825700659,-0.54019109144609,TRUE
k2016,52,0.95,140,M1,90.9534286687509,5000,90.5,89.6558899562377,91.2819261862127,-0.453428668750902,TRUE
k2016,35,1,100,M0,99.6817599496999,5000,99.78,99.606459135064,99.8771084592861,0.098240050300106,TRUE
k2016,35,1,100,M1,99.7333338042007,5000,99.82,99.6582355289626,99.9052706492319,0.0866661957992534,TRUE
k2016,35,1,117,M0,99.9212084622191,5000,99.94,99.8237293951471,99.9795925345806,0.0187915377809418,TRUE
k2016,35,1,117,M1,99.9353066255085,5000,99.94,99.8237293951471,99.9795925345806,0.00469337449152363,TRUE
k2016,35,1,130,M0,99.9735983608482,5000,99.96,99.8542613498577,99.9890298717922,-0.013598360848178,TRUE
k2016,35,1,130,M1,99.9786379434967,5000,99.98,99.8867910919161,99.9964694216561,0.00136205650332499,TRUE
k2016,35,1,140,M0,99.9887622207183,5000,100,99.9232298054943,100,0.0112377792817426,TRUE
k2016,35,1,140,M1,99.9910052132313,5000,100,99.9232298054943,100,0.00899478676871013,TRUE
