input_model,cmax_cv_rule,cmax_gmr_rule,cv,gmr,n,analysis_model,power_pct
k2016,ratio,equal,46,0.95,140,M1,95.1340838596803
k2016,ratio,equal,46,1,100,M0,94.9949337940076
k2016,ratio,equal,46,1,100,M1,95.4325916647933
k2016,ratio,equal,46,1,117,M0,97.691951432888
k2016,ratio,equal,46,1,117,M1,97.9175096143015
k2016,ratio,equal,46,1,130,M0,98.7384067445937
k2016,ratio,equal,46,1,130,M1,98.870982274907
k2016,ratio,equal,46,1,140,M0,99.2121135682336
k2016,ratio,equal,46,1,140,M1,99.2991610421438
k2016,ratio,equal,50,0.9,100,M0,47.9778623831532
k2016,ratio,equal,50,0.9,100,M1,49.2527376881991
k2016,ratio,equal,50,0.9,117,M0,54.462536430457
k2016,ratio,equal,50,0.9,117,M1,55.7279488482236
k2016,ratio,equal,50,0.9,130,M0,59.0075458954725
k2016,ratio,equal,50,0.9,130,M1,60.2482253937841
k2016,ratio,equal,50,0.9,140,M0,62.2654723411637
k2016,ratio,equal,50,0.9,140,M1,63.4783718346332
k2016,ratio,equal,50,0.95,100,M0,79.4651579125765
k2016,ratio,equal,50,0.95,100,M1,80.4180314333162
k2016,ratio,equal,50,0.95,117,M0,85.6691649933072
k2016,ratio,equal,50,0.95,117,M1,86.4098808965422
k2016,ratio,equal,50,0.95,130,M0,89.1407028633148
k2016,ratio,equal,50,0.95,130,M1,89.7458177181679
k2016,ratio,equal,50,0.95,140,M0,91.2456765043159
k2016,ratio,equal,50,0.95,140,M1,91.7604203754285
k2016,ratio,equal,50,1,100,M0,90.6081692480634
k2016,ratio,equal,50,1,100,M1,91.2395257309084
k2016,ratio,equal,50,1,117,M0,95.0736175714515
k2016,ratio,equal,50,1,117,M1,95.4451800277946
k2016,ratio,equal,50,1,130,M0,97.0250253372445
k2016,ratio,equal,50,1,130,M1,97.2669698989974
k2016,ratio,equal,50,1,140,M0,97.9928099194031
k2016,ratio,equal,50,1,140,M1,98.1647736580041
k2016,ratio,equal,52,0.9,100,M0,45.2462411612359
k2016,ratio,equal,52,0.9,100,M1,46.4288741686578
k2016,ratio,equal,52,0.9,117,M0,51.5391155135637
k2016,ratio,equal,52,0.9,117,M1,52.7237059739471
k2016,ratio,equal,52,0.9,130,M0,55.9814104720917
k2016,ratio,equal,52,0.9,130,M1,57.1528525574249
k2016,ratio,equal,52,0.9,140,M0,59.189238924545
k2016,ratio,equal,52,0.9,140,M1,60.3425975238309
k2016,ratio,equal,52,0.95,100,M0,76.2885514095268
k2016,ratio,equal,52,0.95,100,M1,77.2670703590114
k2016,ratio,equal,52,0.95,117,M0,83.027939870825
k2016,ratio,equal,52,0.95,117,M1,83.8058520234221
