input_model,cv,gmr,n,analysis_model,n_trials,n_pass,n_pass_auc,n_pass_cmax,power_pct,lo,hi,analytic_pct,diff_pp,analytic_in_ci
k2016,43,0.95,117,M0,5000,4715,4732,4949,94.3,93.6227147371942,94.9092668704737,94.0181763126864,0.281823687313576,TRUE
k2016,43,0.95,117,M1,5000,4737,4750,4953,94.74,94.0861770524541,95.3251289775022,94.5355561545655,0.204443845434511,TRUE
k2016,43,0.95,130,M0,5000,4791,4801,4962,95.82,95.2291952656858,96.3404525280692,95.9130165716708,-0.093016571670745,TRUE
k2016,43,0.95,130,M1,5000,4807,4816,4967,96.14,95.5696490775797,96.6395073869304,96.2927496665897,-0.152749666589699,TRUE
k2016,43,0.95,140,M0,5000,4845,4853,4976,96.9,96.382428206815,97.3455613507386,96.9619950399798,-0.0619950399798341,TRUE
k2016,43,0.95,140,M1,5000,4859,4868,4978,97.18,96.6836724686333,97.6038871758311,97.2587312421215,-0.0787312421214494,TRUE
k2016,43,1,100,M0,5000,4881,4884,4994,97.62,97.1595305131865,98.0073535535662,97.4200789236632,0.199921076336807,TRUE
k2016,43,1,100,M1,5000,4897,4898,4996,97.94,97.5079201514317,98.2984725860763,97.7051430962982,0.234856903701825,TRUE
k2016,43,1,117,M0,5000,4945,4947,4996,98.9,98.5710359833467,99.1538827664267,98.9396602513578,-0.0396602513577733,TRUE
k2016,43,1,117,M1,5000,4953,4955,4996,99.06,98.7523288067199,99.2923442784311,99.0693351625069,-0.00933516250688626,TRUE
k2016,43,1,130,M0,5000,4971,4972,4999,99.42,99.1682661367759,99.5958542029746,99.4699104917599,-0.0499104917599311,TRUE
k2016,43,1,130,M1,5000,4974,4975,4999,99.48,99.2391450796976,99.6448831358196,99.5391975755653,-0.0591975755653209,TRUE
k2016,43,1,140,M0,5000,4980,4980,5000,99.6,99.3829382389288,99.7409057281215,99.6912220710171,-0.0912220710171141,TRUE
k2016,43,1,140,M1,5000,4982,4982,5000,99.64,99.431626626336,99.7721559245587,99.7334851084181,-0.0934851084181219,TRUE
k2016,46,0.9,100,M0,5000,2796,2947,3977,55.92,54.5398206860314,57.2910897229391,57.2457883928799,-1.32578839287989,TRUE
k2016,46,0.9,100,M1,5000,2882,3034,4028,57.64,56.2650186889175,59.0032508253621,58.8166305172146,-1.17663051721458,TRUE
k2016,46,0.9,117,M0,5000,3223,3344,4340,64.46,63.1226795660732,65.7751184936758,63.9171411532923,0.542858846707659,TRUE
k2016,46,0.9,117,M1,5000,3300,3416,4377,66,64.6751338029394,67.3002997348188,65.4079028651413,0.592097134858747,TRUE
k2016,46,0.9,130,M0,5000,3401,3505,4433,68.02,66.7138201751862,69.2985118467139,68.4117182662587,-0.391718266258692,TRUE
k2016,46,0.9,130,M1,5000,3458,3559,4466,69.16,67.865586357371,70.4249953040944,69.8227439885752,-0.662743988575201,TRUE
k2016,46,0.9,140,M0,5000,3607,3675,4550,72.14,70.8807342168856,73.3652719409873,71.5344818222894,0.605518177710565,TRUE
k2016,46,0.9,140,M1,5000,3673,3745,4582,73.46,72.2184465438297,74.6655328809083,72.877149784719,0.582850215281027,TRUE
k2016,46,0.95,100,M0,5000,4347,4370,4893,86.94,85.9775741971828,87.8457079831164,86.8370003334449,0.102999666555093,TRUE
k2016,46,0.95,100,M1,5000,4389,4410,4902,87.78,86.8430681986154,88.6589242424161,87.6860548274447,0.0939451725553084,TRUE
k2016,46,0.95,117,M0,5000,4563,4575,4945,91.26,90.44516951132,92.0114797241739,91.3832295547769,-0.123229554776856,TRUE
k2016,46,0.95,117,M1,5000,4586,4599,4951,91.72,90.9237394290046,92.4522035206999,91.9976125743984,-0.277612574398361,TRUE
k2016,46,0.95,130,M0,5000,4663,4669,4972,93.26,92.531333097049,93.9222453306647,93.7871257832096,-0.527125783209641,TRUE
k2016,46,0.95,130,M1,5000,4682,4688,4974,93.64,92.9294985071857,94.2834964670497,94.2614813163651,-0.621481316365063,TRUE
k2016,46,0.95,140,M0,5000,4751,4756,4980,95.02,94.3817239032863,95.5891522135807,95.1810166715941,-0.161016671594055,TRUE
k2016,46,0.95,140,M1,5000,4768,4774,4982,95.36,94.7413123077758,95.9090417717686,95.567180328614,-0.207180328613958,TRUE
k2016,46,1,100,M0,5000,4747,4749,4985,94.94,94.2972301781981,95.5137687709802,95.3679268792683,-0.427926879268298,TRUE
k2016,46,1,100,M1,5000,4771,4772,4986,95.42,94.8048554254606,95.9654065298505,95.7867519709241,-0.366751970924071,TRUE
k2016,46,1,117,M0,5000,4874,4874,5000,97.48,97.007757917164,97.8793411061334,97.8354728683485,-0.355472868348528,TRUE
k2016,46,1,117,M1,5000,4883,4883,5000,97.66,97.2029623301881,98.0438603204091,98.0521353425743,-0.392135342574264,FALSE
k2016,46,1,130,M0,5000,4935,4935,5000,98.7,98.3465407230879,98.9786851074636,98.8052642081683,-0.105264208168322,TRUE
k2016,46,1,130,M1,5000,4942,4942,5000,98.84,98.5034632190079,99.1015476549989,98.9331644947797,-0.0931644947797281,TRUE
k2016,46,1,140,M0,5000,4971,4971,5000,99.42,99.1682661367759,99.5958542029746,99.2486655790801,0.171334420919919,TRUE
k2016,46,1,140,M1,5000,4975,4975,5000,99.5,99.2629076527497,99.6610898546897,99.3329482751924,0.167051724807607,TRUE
k2016,50,0.9,100,M0,5000,2657,2757,4051,53.14,51.7549501138831,54.5202287179019,52.4453051090241,0.694694890975903,TRUE
k2016,50,0.9,100,M1,5000,2722,2818,4093,54.44,53.0566883951385,55.8164944115894,53.845989437739,0.594010562261047,TRUE
k2016,50,0.9,117,M0,5000,2978,3056,4299,59.56,58.1928278081697,60.9124937306409,58.7707638704162,0.78923612958377,TRUE
k2016,50,0.9,117,M1,5000,3034,3111,4347,60.68,59.3183770773086,62.025224809145,60.1249160049864,0.555083995013625,TRUE
k2016,50,0.9,130,M0,5000,3189,3260,4439,63.78,62.4376594209412,65.101182713453,63.1056527992453,0.674347200754689,TRUE
k2016,50,0.9,130,M1,5000,3252,3319,4479,65.04,63.7071919529817,66.349715572511,64.4096905595197,0.630309440480303,TRUE
