scenario,lloq,resid,model,config,n_trials,n_pass,pass_pct,lo,hi,diff_vs_ref_pp,diff_lo,diff_hi,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,class
Vmax_down_125,0.2,scaled,M1,G2_Aii,5000,1337,26.74,25.5313879195846,27.9843255748994,1.22,0.57314030636412,1.86685969363588,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,exceeding
Vmax_down_125,0.5,scaled,M1,G2_Aii,5000,1389,27.78,26.5558856673212,29.0382310071171,2.26,1.444756090294,3.075243909706,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,exceeding
Vmax_down_125,0.02,scaled,M1,G2_B,5000,346,6.92,6.24909741527672,7.6570477843094,-0.44,-0.668266335187339,-0.211733664812661,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,exceeding
Vmax_down_125,0.05,scaled,M1,G2_B,5000,365,7.3,6.61126429744546,8.05429744866242,-0.06,-0.230874693325513,0.110874693325513,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,exceeding
Vmax_down_125,0.078,scaled,M1,G2_B,5000,368,7.36,6.66850135953764,8.11696826233683,0,0,0,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,exceeding
Vmax_down_125,0.1,scaled,M1,G2_B,5000,370,7.4,6.70666716221882,8.15874104350005,0.04,-0.0708778505335775,0.150877850533578,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,exceeding
Vmax_down_125,0.2,scaled,M1,G2_B,5000,386,7.72,7.0122114225763,8.49270545389773,0.36,0.106130294165418,0.613869705834582,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,exceeding
Vmax_down_125,0.5,scaled,M1,G2_B,5000,428,8.56,7.81598325025074,9.36764388695559,1.2,0.83374894086742,1.56625105913258,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,exceeding
Vmax_down_125,0.02,scaled,M1,P2,5000,142,2.84,2.4145272686654,3.33788237879239,-0.02,-0.0878996711420279,0.0478996711420279,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,conservative
Vmax_down_125,0.05,scaled,M1,P2,5000,142,2.84,2.4145272686654,3.33788237879239,-0.02,-0.0591992796908011,0.0191992796908011,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,conservative
Vmax_down_125,0.078,scaled,M1,P2,5000,143,2.86,2.43294769785482,3.35943124152517,0,0,0,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,conservative
