pk_model,scenario,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,analysis_model,endpoint,n,mean_log_gmr,sd_log_gmr,bias_pct,bias_mc_se_pct,bias_dir,config
k2016,V2_up_080,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,M1,AUCinf_Ci,10000,-0.2319810101288,0.0463116281757626,-0.844876845793618,0.0463116281757626,away_from_1,C_i
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,AUCinf_A,10000,0.17433628607399,0.0490347908386508,-4.83083200915366,0.0490347908386508,toward_1,A_ii
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,AUCinf_A,10000,0.17619476825677,0.0487509656996549,-4.65379734916783,0.0487509656996549,toward_1,A_ii
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,AUCinf_Ai,10000,0.19613120927472,0.0483486116239908,-2.73385862256168,0.0483486116239908,toward_1,A_i
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,AUCinf_Ai,10000,0.1971736720878,0.0481587147617115,-2.63240941787954,0.0481587147617115,toward_1,A_i
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,AUCinf_B,10000,0.2148241095049,0.0465050558334486,-0.898572375520368,0.0465050558334486,toward_1,B
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,AUCinf_B,10000,0.215140085860899,0.0464881780795495,-0.867253719828454,0.0464881780795495,toward_1,B
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,AUCinf_C,10000,0.228207131706,0.0471816448996812,0.436618748510731,0.0471816448996812,away_from_1,C_ii
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,AUCinf_C,10000,0.228213016718901,0.0471690198570283,0.437209821047002,0.0471690198570283,away_from_1,C_ii
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M0,AUCinf_Ci,10000,0.227014733518099,0.047175411597795,0.316929679012201,0.047175411597795,away_from_1,C_i
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,AUCinf_Ci,10000,0.227020399016299,0.0471631255370526,0.317498026006713,0.0471631255370526,away_from_1,C_i
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M0,AUCinf_A,10000,-0.17293545765659,0.0541743354183543,5.22563790689938,0.0541743354183543,toward_1,A_ii
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M1,AUCinf_A,10000,-0.174770269172046,0.0537436602148372,5.0327457092741,0.0537436602148372,toward_1,A_ii
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M0,AUCinf_Ai,10000,-0.17980706548643,0.0519266620540845,4.50504723327758,0.0519266620540845,toward_1,A_i
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M1,AUCinf_Ai,10000,-0.181206010797681,0.0516294553301925,4.35895260047547,0.0516294553301925,toward_1,A_i
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M0,AUCinf_B,10000,-0.1909447642669,0.0481065458732549,3.34755933726414,0.0481065458732549,toward_1,B
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M1,AUCinf_B,10000,-0.191688269875801,0.048062153064496,3.27074840544843,0.048062153064496,toward_1,B
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M0,AUCinf_C,10000,-0.2377940483488,0.0512190824459564,-1.38253396266442,0.0512190824459564,away_from_1,C_ii
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M1,AUCinf_C,10000,-0.2377880905029,0.0512051653665422,-1.38194641324852,0.0512051653665422,away_from_1,C_ii
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M0,AUCinf_Ci,10000,-0.2332117562825,0.0509499407574247,-0.929602991976952,0.0509499407574247,away_from_1,C_i
